"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",6,1.65819117918054,1.83190617297164,0.900354964170455,0.51348463599965,0.0350782301524564,-0.0159443437082508,1.14713669665514,0,21,2.84168923040207,2.97030717343186,0.728152869698208,1.53451418439376,0.0226711567184473,0.142399750767033,0.655188077330156,11,1.99771604695897,1.70554558373299,0.712338946065263,0.640823023225094,-0.0169912354619176,0.0335951939853969,0.909669216868558,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",78,1.85035974264947,1.79984649556048,0.761887564582481,1.09130078053912,0.288514826281644,0.0919682397182479,1.01441580810577,1,34,2.15069599933593,2.28803354216376,0.635546426732887,0.505972414905927,0.117902757078744,0.0476349440508997,0.865854800310047,37,1.17152307799995,0.953321786529131,0.713977880631088,1.08997580604888,0.339289917158927,0.39200323463391,1.13714341745514,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",67,1.7477047516383,1.77804174324936,0.730044438160867,0.98355867635064,0.0602487843786493,0.00779279921744957,1.16850229152641,2,19,1.92939635646646,1.87891808447734,0.737880462097473,1.02832077630623,0.0130480809577019,0.0969002773760388,0.190667292165922,40,1.92956713724574,1.96122776862691,0.99492838843154,1.30291077440527,1.24291662118751,2.08306807240901,0.325998832467676,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",3,2.74870275309106,2.6865200835857,1.00333732485653,1.385788980987,0.282419858176774,0.36757626217429,3.02101721521756,0,32,2.71920349735637,2.64122330965449,0.721236033568086,1.04695978278351,0.0386508161146878,-0.0637174651567053,1.29100453809638,17,2.57364300234241,2.34301394628265,0.819287026289387,1.03235998629145,-0.0573358456777178,0.00331952151734344,1.02141999932949,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",120,2.00357496564339,2.02985185642526,0.563731099220188,0.690426898780235,0.1219545041273,0.218741498710232,2.50027804001682,5,9,2.60888114592238,2.77791061269069,0.734510328668019,1.0576394114807,0.474667660034248,0.444822267814602,0.453995095617872,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",13,1.83086380989577,1.9805679047021,0.65645106540296,1.14115853647001,-0.139342027967984,-0.109141272351836,0.301435361548184,0,19,2.01099681925084,1.84240231845263,0.728205924980798,0.963305703726636,0.0712908675875107,-0.0140451420274251,2.94157837607629,13,1.58203610841977,1.53806875439889,0.49024195900928,0.745497927423944,-0.0891332043400623,-0.0544261713361146,0.700357877212016,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",61,2.11629836273765,1.96488574538012,0.995656761546221,1.49124337867379,-0.275948411384667,-0.23675550352905,2.7820116216195,34,NA,NA,NA,NA,NA,NA,NA,NA,65,1.72279676943944,1.56750776198154,0.553568390974897,0.710789454938775,0.098406544552683,-0.177872052634575,2.54929142420098,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",7,1.5464915611342,1.91570113079918,0.970698912014888,1.40076232436597,0.360796884971504,0.196530499713779,5.46994775227878,0,17,1.66767191142765,1.69018208012421,0.515943840272056,0.726173319216624,-0.175801098456695,-0.181367949303866,0.201936370564849,12,1.77293187936403,1.53653047611952,0.824613343066364,1.4832707462519,0.0450413563342799,0.124086033017203,0.584947398585149,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",60,2.56981011315375,2.50513399832682,0.811611462002317,1.05649578548153,0.018336745627963,-0.244858610020596,3.48785043750948,0,15,2.9652272464781,3.0524665583756,0.895645549128406,1.39820173353269,-0.53296241386463,-0.25224803555708,1.49125318215334,168,2.49237054180683,2.44794730952833,0.852766810789649,1.08612532193313,0.0949709890395913,0.0526496661190462,2.43230138710269,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",79,1.73257754251732,1.73505908669704,0.563168735866015,0.725650384181915,0.378742291702309,1.00703366239387,0.875,26,3,1.12437395250487,1.10508188061854,0.0850447768939597,0.122401614800253,0.0446026183821703,0.0145163231054106,3.50554599416203,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",12,2.22949087840237,2.30311112352536,0.845405771674358,1.64936165327053,-0.411365908979539,-0.428931510447992,2.47455377278477,0,8,2.78459936734857,2.14103442157263,1.48489924900602,1.52477832708221,1.41460873323323,1.3868499745175,0.30145241856575,6,2.08605984322667,2.30892480841606,0.906133109675086,1.61768787951687,0.267143512622206,0.183384917022678,4.73057795124514,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
