"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",44,63462.753454759,49558.4925840671,46461.4217115292,15790.8818430427,50481.8011949538,42770.7248565491,1,44,63462.753454759,49558.4925840671,46461.4217115292,15790.8818430427,50481.8011949538,42770.7248565491,1,44,63462.753454759,49558.4925840671,46461.4217115292,15790.8818430427,50481.8011949538,42770.7248565491,1,-80,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",5,7670.20027120954,6332.03324510307,2953.34686958186,1225.69373891594,-90.37645724766,19.3689874791654,3.12300595683908,NA,NA,NA,NA,NA,NA,NA,NA,5,7670.20027120954,6332.03324510307,2953.34686958186,1225.69373891594,-90.37645724766,19.3689874791654,3.12300595683908,-2,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",33,15798.2745097312,4366.78173465867,20192.9653635096,30720.2356439818,-9750.2915535646,-4800.58527922632,0.564254713907391,33,15798.2745097312,4366.78173465867,20192.9653635096,30720.2356439818,-9750.2915535646,-4800.58527922632,0.564254713907391,33,15798.2745097312,4366.78173465867,20192.9653635096,30720.2356439818,-9750.2915535646,-4800.58527922632,0.564254713907391,-58,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",7,57584.9405626118,50385.4434682834,27248.1775084793,50655.5121593123,1799.31234172759,-21707.6002831168,1.07414329856671,7,57584.9405626118,50385.4434682834,27248.1775084793,50655.5121593123,1799.31234172759,-21707.6002831168,1.07414329856671,7,57584.9405626118,50385.4434682834,27248.1775084793,50655.5121593123,1799.31234172759,-21707.6002831168,1.07414329856671,-11,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bih","Bih2013",10,118089.661477079,124465.237807101,77023.2007529993,85437.8654235389,33618.1178874635,50918.6408264227,1.35025595537732,10,118089.661477079,124465.237807101,77023.2007529993,85437.8654235389,33618.1178874635,50918.6408264227,1.35025595537732,10,118089.661477079,124465.237807101,77023.2007529993,85437.8654235389,33618.1178874635,50918.6408264227,1.35025595537732,-20,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",4,45742.8193353237,29811.4368325032,60656.1653489197,41571.6999050332,30113.3082453436,-2962.00276441291,1.66685381557917,4,45742.8193353237,29811.4368325032,60656.1653489197,41571.6999050332,30113.3082453436,-2962.00276441291,1.66685381557917,4,45742.8193353237,29811.4368325032,60656.1653489197,41571.6999050332,30113.3082453436,-2962.00276441291,1.66685381557917,-2,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Brazil","Brazil2009",31,66142.4484192811,88103.8080939898,41839.6474139003,54345.9168546786,-10298.5527455846,-22222.7758964242,1.72848256510982,31,66142.4484192811,88103.8080939898,41839.6474139003,54345.9168546786,-10298.5527455846,-22222.7758964242,1.72848256510982,31,66142.4484192811,88103.8080939898,41839.6474139003,54345.9168546786,-10298.5527455846,-22222.7758964242,1.72848256510982,-56,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",6,73962.3327146353,83975.9171556254,28487.5912969425,22805.9250371584,7931.81965270635,10578.2098671115,6.11087870115436,NA,NA,NA,NA,NA,NA,NA,NA,6,73962.3327146353,83975.9171556254,28487.5912969425,22805.9250371584,7931.81965270635,10578.2098671115,6.11087870115436,-5,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",4,73168.7101651487,73998.6610316427,44070.5014888841,0,-1770.13969820231,6018.46227310366,0.122976654877472,4,73168.7101651487,73998.6610316427,44070.5014888841,0,-1770.13969820231,6018.46227310366,0.122976654877472,4,73168.7101651487,73998.6610316427,44070.5014888841,0,-1770.13969820231,6018.46227310366,0.122976654877472,-7,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Cameroon","Cameroon2009",5,161005.683766923,23443.1292933286,344123.456816467,57304.1453176533,35847.4396835057,21889.230343881,1.43154433651568,5,161005.683766923,23443.1292933286,344123.456816467,57304.1453176533,35847.4396835057,21889.230343881,1.43154433651568,NA,NA,NA,NA,NA,NA,NA,NA,-5,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
