"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","outliersOut","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",7,35187.8063038543,32780.5791563134,24275.1282829094,8409.69447348642,-1624.08721806028,-1403.04299014347,4.16221593810739,7,35187.8063038543,32780.5791563134,24275.1282829094,8409.69447348642,-1624.08721806028,-1403.04299014347,4.16221593810739,-6,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",7,109046199.005864,22466.6497930593,275317788.627233,10084060.0963508,-71945556.2811955,-70893638.7861363,0.509607904860027,7,109046199.005864,22466.6497930593,275317788.627233,10084060.0963508,-71945556.2811955,-70893638.7861363,0.509607904860027,-14,7,109046199.005864,22466.6497930593,275317788.627233,10084060.0963508,-71945556.2811955,-70893638.7861363,0.509607904860027,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",61,60952.1394773646,43232.8346746159,51998.0157315714,66253.1799409318,14736.5331798207,10921.7661043266,1.58996025783478,61,60952.1394773646,43232.8346746159,51998.0157315714,66253.1799409318,14736.5331798207,10921.7661043266,1.58996025783478,-111,61,60952.1394773646,43232.8346746159,51998.0157315714,66253.1799409318,14736.5331798207,10921.7661043266,1.58996025783478,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",10,20148.8861236232,14624.9817055211,17632.9045195612,23266.6838172475,-3164.32454482587,-1487.3949827161,0.381771167292776,10,20148.8861236232,14624.9817055211,17632.9045195612,23266.6838172475,-3164.32454482587,-1487.3949827161,0.381771167292776,-18,10,20148.8861236232,14624.9817055211,17632.9045195612,23266.6838172475,-3164.32454482587,-1487.3949827161,0.381771167292776,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",27,6802.50475268683,6071.11470378957,5270.32254999831,5033.01080659147,1940.28573090733,2238.7935990269,3.58362118059401,27,6802.50475268683,6071.11470378957,5270.32254999831,5033.01080659147,1940.28573090733,2238.7935990269,3.58362118059401,-50,27,6802.50475268683,6071.11470378957,5270.32254999831,5033.01080659147,1940.28573090733,2238.7935990269,3.58362118059401,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",11,60234.5442026963,27386.2962143334,80959.1746483401,26953.0445147465,-36516.0192047099,-30111.1343282862,0.311566578529143,11,60234.5442026963,27386.2962143334,80959.1746483401,26953.0445147465,-36516.0192047099,-30111.1343282862,0.311566578529143,-20,11,60234.5442026963,27386.2962143334,80959.1746483401,26953.0445147465,-36516.0192047099,-30111.1343282862,0.311566578529143,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",5,10993.104115318,10418.0530461775,7745.63872195382,16973.4414628522,1212.49854088266,1052.48793657359,1.58940058603593,5,10993.104115318,10418.0530461775,7745.63872195382,16973.4414628522,1212.49854088266,1052.48793657359,1.58940058603593,-9,5,10993.104115318,10418.0530461775,7745.63872195382,16973.4414628522,1212.49854088266,1052.48793657359,1.58940058603593,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",9,72001.0566231618,69088.9547945965,34408.1058613262,47774.8800138015,-4817.17797861494,-16505.5918966645,1.64609867995718,9,72001.0566231618,69088.9547945965,34408.1058613262,47774.8800138015,-4817.17797861494,-16505.5918966645,1.64609867995718,-8,9,72001.0566231618,69088.9547945965,34408.1058613262,47774.8800138015,-4817.17797861494,-16505.5918966645,1.64609867995718,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",11,38081.2720388783,14086.0560953051,64876.1122409829,29743.7340639351,3521.14963305256,4523.38187801118,2.03170747413587,11,38081.2720388783,14086.0560953051,64876.1122409829,29743.7340639351,3521.14963305256,4523.38187801118,2.03170747413587,-11,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",83,24082.8248369986,14694.9378230004,43708.6033244719,4020.0400817146,23206.3059751277,9090.26084082777,0.21568934429665,83,24082.8248369986,14694.9378230004,43708.6033244719,4020.0400817146,23206.3059751277,9090.26084082777,0.21568934429665,-145,83,24082.8248369986,14694.9378230004,43708.6033244719,4020.0400817146,23206.3059751277,9090.26084082777,0.21568934429665,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",8,58764.2954026723,45577.302729545,65323.2942497815,50532.9901916224,-11573.1016403224,-4476.9234256952,1,8,58764.2954026723,45577.302729545,65323.2942497815,50532.9901916224,-11573.1016403224,-4476.9234256952,1,-14,8,58764.2954026723,45577.302729545,65323.2942497815,50532.9901916224,-11573.1016403224,-4476.9234256952,1,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",13,16008.8036032399,8736.46054928596,21463.6283548774,23970.1059152347,36982.4293481566,52299.4445023645,1.45480310039585,13,16008.8036032399,8736.46054928596,21463.6283548774,23970.1059152347,36982.4293481566,52299.4445023645,1.45480310039585,-25,13,16008.8036032399,8736.46054928596,21463.6283548774,23970.1059152347,36982.4293481566,52299.4445023645,1.45480310039585,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Cameroon","Cameroon2009",9,24051.6015802086,10573.6664223264,28732.0591361708,23764.8952287377,4397.03695095608,1981.47149591265,2.78819144607242,9,24051.6015802086,10573.6664223264,28732.0591361708,23764.8952287377,4397.03695095608,1981.47149591265,2.78819144607242,-16,9,24051.6015802086,10573.6664223264,28732.0591361708,23764.8952287377,4397.03695095608,1981.47149591265,2.78819144607242,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
