"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",6,37753.5090818158,5551.82422040675,64197.1472767079,131582.779204113,-18710.1646709128,-13300.4644400641,0.997290542592203,6,37753.5090818158,5551.82422040675,64197.1472767079,131582.779204113,-18710.1646709128,-13300.4644400641,0.997290542592203,-2,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Argentina","Argentina2010",106,55557.3346959854,44833.5012478093,34032.0747999296,37434.9146677016,11354.8344025293,18998.1797264042,4.26510631959041,106,55557.3346959854,44833.5012478093,34032.0747999296,37434.9146677016,11354.8344025293,18998.1797264042,4.26510631959041,-200,106,55557.3346959854,44833.5012478093,34032.0747999296,37434.9146677016,11354.8344025293,18998.1797264042,4.26510631959041,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",4,5988.94685330196,4311.7521800254,4752.99816660307,2502.48111384223,-1466.79162092664,-2845.06246005261,0.872776598287235,4,5988.94685330196,4311.7521800254,4752.99816660307,2502.48111384223,-1466.79162092664,-2845.06246005261,0.872776598287235,-3,4,5988.94685330196,4311.7521800254,4752.99816660307,2502.48111384223,-1466.79162092664,-2845.06246005261,0.872776598287235,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",5,12834.6389021047,12233.2945922278,8241.16868247851,15251.1320942254,-4407.50636350105,-4904.9387930828,0.237465945273519,5,12834.6389021047,12233.2945922278,8241.16868247851,15251.1320942254,-4407.50636350105,-4904.9387930828,0.237465945273519,-9,5,12834.6389021047,12233.2945922278,8241.16868247851,15251.1320942254,-4407.50636350105,-4904.9387930828,0.237465945273519,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",25,4444.02685882512,3324.8661042261,3469.39294796513,5785.10636848439,121.04906140556,-284.094126058815,1.23315812870403,25,4444.02685882512,3324.8661042261,3469.39294796513,5785.10636848439,121.04906140556,-284.094126058815,1.23315812870403,-48,25,4444.02685882512,3324.8661042261,3469.39294796513,5785.10636848439,121.04906140556,-284.094126058815,1.23315812870403,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",4,58071.3080665599,60339.7815357736,29000.397653813,29185.4775330652,-13071.4920850219,-7594.6336676877,0.252219133196883,4,58071.3080665599,60339.7815357736,29000.397653813,29185.4775330652,-13071.4920850219,-7594.6336676877,0.252219133196883,-6,4,58071.3080665599,60339.7815357736,29000.397653813,29185.4775330652,-13071.4920850219,-7594.6336676877,0.252219133196883,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Brazil","Brazil2009",134,45815.2568050423,42210.4208580028,43558.2298893173,45962.4582676031,2673.66024805684,-13085.1247436009,0.746942348004434,134,45815.2568050423,42210.4208580028,43558.2298893173,45962.4582676031,2673.66024805684,-13085.1247436009,0.746942348004434,-241,134,45815.2568050423,42210.4208580028,43558.2298893173,45962.4582676031,2673.66024805684,-13085.1247436009,0.746942348004434,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",11,18969.6654415384,18906.8361089846,8570.74250972117,13161.6759330122,12769.1119526354,13839.1011006705,0.621587670888479,11,18969.6654415384,18906.8361089846,8570.74250972117,13161.6759330122,12769.1119526354,13839.1011006705,0.621587670888479,-19,11,18969.6654415384,18906.8361089846,8570.74250972117,13161.6759330122,12769.1119526354,13839.1011006705,0.621587670888479,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",19,103200.36826923,43430.3240698506,137364.276130925,43698.1478167946,2846.26458650787,40335.8560164859,1.16487774424899,19,103200.36826923,43430.3240698506,137364.276130925,43698.1478167946,2846.26458650787,40335.8560164859,1.16487774424899,-36,19,103200.36826923,43430.3240698506,137364.276130925,43698.1478167946,2846.26458650787,40335.8560164859,1.16487774424899,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",147,56344.0776084588,40841.9790660452,63647.9211467609,55237.9941678933,63122.0654812177,99729.3802750068,1.05467681199009,147,56344.0776084588,40841.9790660452,63647.9211467609,55237.9941678933,63122.0654812177,99729.3802750068,1.05467681199009,-288,147,56344.0776084588,40841.9790660452,63647.9211467609,55237.9941678933,63122.0654812177,99729.3802750068,1.05467681199009,"2012","East Asia and Pacific","China","Upper middle income"
