"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",10,56297.1062100685,58003.0012492674,41907.4627200295,65496.5228112745,28848.2429301885,49148.1107430555,0.979479268847739,10,56297.1062100685,58003.0012492674,41907.4627200295,65496.5228112745,28848.2429301885,49148.1107430555,0.979479268847739,10,56297.1062100685,58003.0012492674,41907.4627200295,65496.5228112745,28848.2429301885,49148.1107430555,0.979479268847739,-17,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",13,65817.2010519766,40072.8569109995,81311.6140383506,72010.770002001,37970.4234350584,10347.8471084914,32.9081726575257,13,65817.2010519766,40072.8569109995,81311.6140383506,72010.770002001,37970.4234350584,10347.8471084914,32.9081726575257,13,65817.2010519766,40072.8569109995,81311.6140383506,72010.770002001,37970.4234350584,10347.8471084914,32.9081726575257,-25,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",11,54447.1243264223,61012.5742077869,16045.8429594502,19346.4428932513,1059.85314452512,3292.46068215227,1.05607606464214,11,54447.1243264223,61012.5742077869,16045.8429594502,19346.4428932513,1059.85314452512,3292.46068215227,1.05607606464214,11,54447.1243264223,61012.5742077869,16045.8429594502,19346.4428932513,1059.85314452512,3292.46068215227,1.05607606464214,-12,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",5,257331.475865335,282509.521213491,138212.641178725,49527.1243910909,-102354.40970438,-59158.2361021767,0.278514858495736,5,257331.475865335,282509.521213491,138212.641178725,49527.1243910909,-102354.40970438,-59158.2361021767,0.278514858495736,5,257331.475865335,282509.521213491,138212.641178725,49527.1243910909,-102354.40970438,-59158.2361021767,0.278514858495736,-10,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",98,42952.2894314133,41472.2378157374,26192.9180398793,32206.5593114496,-4974.57921667418,-3595.35962588566,1.44200901350205,98,42952.2894314133,41472.2378157374,26192.9180398793,32206.5593114496,-4974.57921667418,-3595.35962588566,1.44200901350205,98,42952.2894314133,41472.2378157374,26192.9180398793,32206.5593114496,-4974.57921667418,-3595.35962588566,1.44200901350205,-190,"2012","East Asia and Pacific","China","Upper middle income"
"Costarica","Costarica2010",6,95750.6794825262,80997.584419845,87145.6519305523,108268.392503707,39719.1584789883,41665.8621995991,6.5728054426475,6,95750.6794825262,80997.584419845,87145.6519305523,108268.392503707,39719.1584789883,41665.8621995991,6.5728054426475,6,95750.6794825262,80997.584419845,87145.6519305523,108268.392503707,39719.1584789883,41665.8621995991,6.5728054426475,-11,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",5,29853.5571846438,37946.9401403237,21001.9663033786,39338.2222209726,16079.73905305,13358.0677336946,2.29227141173372,5,29853.5571846438,37946.9401403237,21001.9663033786,39338.2222209726,16079.73905305,13358.0677336946,2.29227141173372,5,29853.5571846438,37946.9401403237,21001.9663033786,39338.2222209726,16079.73905305,13358.0677336946,2.29227141173372,-9,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",28,13093.4900091297,15700.0689241225,7874.3131011761,11513.3838776898,-7590.60925674636,-1439.76132019642,0.0509388066259717,28,13093.4900091297,15700.0689241225,7874.3131011761,11513.3838776898,-7590.60925674636,-1439.76132019642,0.0509388066259717,28,13093.4900091297,15700.0689241225,7874.3131011761,11513.3838776898,-7590.60925674636,-1439.76132019642,0.0509388066259717,-32,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",5,13705.8754034701,13236.3919723393,10696.8446117858,22608.1439527548,-4513.01766159207,-4424.05880924225,NA,5,13705.8754034701,13236.3919723393,10696.8446117858,22608.1439527548,-4513.01766159207,-4424.05880924225,NA,5,13705.8754034701,13236.3919723393,10696.8446117858,22608.1439527548,-4513.01766159207,-4424.05880924225,NA,-9,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",494,33816.8976357891,19740.4388148568,39493.2722962796,34107.8183795236,-3377.55038816627,1570.06690954291,0.626198142369116,494,33816.8976357891,19740.4388148568,39493.2722962796,34107.8183795236,-3377.55038816627,1570.06690954291,0.626198142369116,494,33816.8976357891,19740.4388148568,39493.2722962796,34107.8183795236,-3377.55038816627,1570.06690954291,0.626198142369116,-931,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",6,16137.1699314769,5993.60109772422,21503.9317868523,38033.4162700606,-1310.67691679059,-4510.78107488077,1,6,16137.1699314769,5993.60109772422,21503.9317868523,38033.4162700606,-1310.67691679059,-4510.78107488077,1,6,16137.1699314769,5993.60109772422,21503.9317868523,38033.4162700606,-1310.67691679059,-4510.78107488077,1,-11,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,3,13258.6339942741,13233.1763482037,399.515463533764,0,34.2662852735123,5.36094688475212,1.12811926027304,NA,NA,NA,NA,NA,NA,NA,NA,4,"2011","Middle East and North Africa","Iraq","Upper middle income"
