"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","outliersOut","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",10,0.210436904472744,0.090268162476223,0.237210156928483,0.213333333333333,0.0235209323501799,0.0205161578040462,1.05777343847493,21,0.211367440658914,0.109697322357839,0.252017012824488,0.237254901960784,0.0331148534793078,0.0380916481063572,0.9,4,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",57,0.295277696670505,0.2415085521113,0.24741915502678,0.400700079799763,-0.0017499237112016,0.00325676197231205,1.42742221034728,26,0.0851844648053161,0.0567006799254401,0.107830814831957,0.0749202185792349,-0.0155339885303874,-0.0152357534899562,1.44352551256545,17,11,0.324220944186255,0.312212926184252,0.224376133622717,0.233901655891605,-0.00241746530598525,-0.0192660879175846,1.00405976929895,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",65,0.0422204031384981,0.00712887918157741,0.0678819346975751,0.0661494252873563,0.00122306423221573,0.000812563365128353,0.950981928281742,32,0.0237591334704613,0.00980683644064854,0.0331140954771082,0.0256204792312628,0.00285837910596972,0.00296272118430267,0.624210611483727,10,22,0.0558837017503242,0.0372463561782586,0.0644857895465604,0.0925,0.00149798509833336,0.00412472261146985,1.0489750365896,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",25,0.213660622658665,0.233333333333333,0.0776551668744894,0.116666666666667,0.00163826922183712,0.00163826922183712,1.11111111111111,6,0.151290322580645,0.1525,0.0669940000730337,0.112741935483871,0.00743081844841375,0.00743081844841375,1.01428571428571,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",187,0.265498976598102,0.2365333566639,0.16210458303295,0.199393850500919,0.00421492701616264,0.00112873425167309,0.77643909357028,262,0.199498086961344,0.168884757355106,0.129771576413687,0.167781215976161,-0.000280467966741076,0.000221290338691606,1.31509583164387,8,221,0.197874511923279,0.16599604505398,0.1149996407285,0.143593875906527,-0.0188260786620705,-0.0275984063080717,1.42657206508058,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",31,0.160271220332354,0.127969340302599,0.160649667439024,0.201083333333333,-0.00255412152625197,0.00324232185215094,1.40164392958716,29,0.16771669226613,0.149534775671251,0.130965174040837,0.228333333333333,0.0129633109711913,0.00173306955621135,1.12007192141958,2,11,0.220892714062195,0.145779813787659,0.169021935138525,0.328742236596332,0.0441263352384829,0.00579473686051447,0.421682818533299,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",33,0.344535423321663,0.361314952293358,0.133932857901768,0.15,0.0146852702915543,0.020291936686871,0.941921613727865,49,0.346041124478763,0.330917098374446,0.190595393235178,0.305714285714286,-0.0262264167208395,-0.0157280218934879,1.10153763242523,0,6,0.407412630881019,0.302980511722223,0.252730916654482,0.45,0.172295356794946,0.192501235483909,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",19,0.238141098738679,0.228569126284682,0.107742544212187,0.172684458398744,-0.0125764584844187,-0.0110161850005401,1.22857142857143,14,0.194424154339638,0.14375,0.141032073470759,0.25,-0.0142507332203601,-0.00716073141951225,0.8,0,3,0.12,0.0857142857142857,0.144913767461894,0.08,-0.0047569803516029,-0.023883751651255,1.1965811965812,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",325,0.222165207620044,0.2,0.155633317480975,0.233333333333333,-0.00490318996402769,-0.00394791557854012,1.02291020447307,431,0.214803976094787,0.170157363450273,0.17729638642633,0.228,-0.00352062541365536,-0.00498099323536494,1.2,16,366,0.126585966089951,0.1,0.102459436825354,0.10080808080808,-0.00235111169335428,0.0129834088283446,0.977234236489187,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",23,0.246006411348026,0.285714285714286,0.106720611362545,0.124025974025974,0.00290768946217845,0.00290768946217845,1.53846153846154,28,0.269572949589949,0.280625,0.0444097246517822,0.028008806262231,-0.000822401364523995,-0.000822401364523995,1.37931034482759,6,11,0.23110431986788,0.194451902727653,0.120024400493904,0.172533949604401,0.000812836549995772,0.00295347520605897,1.39473683824169,"2010","Latin America and Caribbean","Barbados","High income"
