"countryOnly","country","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",12,0.433033252222113,0.317285768828073,0.618411375122523,0.395571678072188,0.0110341685106114,-0.0229312101278434,1.20481927710843,12,0.433033252222113,0.317285768828073,0.618411375122523,0.395571678072188,0.0110341685106114,-0.0229312101278434,1.20481927710843,12,0.433033252222113,0.317285768828073,0.618411375122523,0.395571678072188,0.0110341685106114,-0.0229312101278434,1.20481927710843,-24,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",81,0.246299017038125,0.225338315130388,0.162706658581117,0.168772934392163,-0.0127162768866556,-0.00278914174039418,1.68256341369946,81,0.246299017038125,0.225338315130388,0.162706658581117,0.168772934392163,-0.0127162768866556,-0.00278914174039418,1.68256341369946,81,0.246299017038125,0.225338315130388,0.162706658581117,0.168772934392163,-0.0127162768866556,-0.00278914174039418,1.68256341369946,-162,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",178,0.139092954843903,0.107763010226841,0.104054472938385,0.118571428571429,-0.016413619838642,-0.00595766168425309,1.94677051629236,178,0.139092954843903,0.107763010226841,0.104054472938385,0.118571428571429,-0.016413619838642,-0.00595766168425309,1.94677051629236,178,0.139092954843903,0.107763010226841,0.104054472938385,0.118571428571429,-0.016413619838642,-0.00595766168425309,1.94677051629236,-348,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",NA,NA,NA,NA,NA,NA,NA,NA,5,0.270211352499238,0.285714285714286,0.0235366688751449,0.042857142857143,0.00914980140064628,0.00658602711157455,0.35702711130395,5,0.270211352499238,0.285714285714286,0.0235366688751449,0.042857142857143,0.00914980140064628,0.00658602711157455,0.35702711130395,-5,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",7,0.34266295729283,0.334432003578175,0.0737299796949507,0.0532444174757282,0.00923781331283458,0.000483483129447069,0.830129825133572,7,0.34266295729283,0.334432003578175,0.0737299796949507,0.0532444174757282,0.00923781331283458,0.000483483129447069,0.830129825133572,7,0.34266295729283,0.334432003578175,0.0737299796949507,0.0532444174757282,0.00923781331283458,0.000483483129447069,0.830129825133572,-11,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bih","Bih2013",4,0.571549157306836,0.624012124997609,0.231861542862536,0.423469387755102,0.0227338081729642,0.0556450357920946,0.988597476455569,4,0.571549157306836,0.624012124997609,0.231861542862536,0.423469387755102,0.0227338081729642,0.0556450357920946,0.988597476455569,4,0.571549157306836,0.624012124997609,0.231861542862536,0.423469387755102,0.0227338081729642,0.0556450357920946,0.988597476455569,-7,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",143,0.272195260621257,0.25,0.190029274443761,0.22008547008547,-0.023001750684501,-0.0875644168731223,0.829714064316795,143,0.272195260621257,0.25,0.190029274443761,0.22008547008547,-0.023001750684501,-0.0875644168731223,0.829714064316795,143,0.272195260621257,0.25,0.190029274443761,0.22008547008547,-0.023001750684501,-0.0875644168731223,0.829714064316795,-284,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",11,0.404428914650366,0.456453407767175,0.157442805534839,0.206657094374103,0.0971789951644904,0.0722408877437831,0.766209424095827,11,0.404428914650366,0.456453407767175,0.157442805534839,0.206657094374103,0.0971789951644904,0.0722408877437831,0.766209424095827,11,0.404428914650366,0.456453407767175,0.157442805534839,0.206657094374103,0.0971789951644904,0.0722408877437831,0.766209424095827,-18,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",5,0.204415335834689,0.18923296205787,0.089317120964776,0.166666666666667,0.00054382308296336,-0.0042764705882353,0.454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,5,0.204415335834689,0.18923296205787,0.089317120964776,0.166666666666667,0.00054382308296336,-0.0042764705882353,0.454545454545455,-5,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,14,0.297232221365682,0.317443643909317,0.124754444634623,0.130555555555556,-0.032182113528385,-0.034523305159655,1,14,0.297232221365682,0.317443643909317,0.124754444634623,0.130555555555556,-0.032182113528385,-0.034523305159655,1,-14,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",32,0.268361135314743,0.232938572733014,0.168366852894873,0.0474945533769063,0.0332692903953815,0.00712762399873207,0.254119729404066,32,0.268361135314743,0.232938572733014,0.168366852894873,0.0474945533769063,0.0332692903953815,0.00712762399873207,0.254119729404066,32,0.268361135314743,0.232938572733014,0.168366852894873,0.0474945533769063,0.0332692903953815,0.00712762399873207,0.254119729404066,-57,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",121,0.172760403170909,0.133333333333333,0.122272950446993,0.098412698412698,0.0151823751683303,-0.00147665597174046,0.548133542955937,121,0.172760403170909,0.133333333333333,0.122272950446993,0.098412698412698,0.0151823751683303,-0.00147665597174046,0.548133542955937,121,0.172760403170909,0.133333333333333,0.122272950446993,0.098412698412698,0.0151823751683303,-0.00147665597174046,0.548133542955937,-238,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",60,0.281963185372042,0.247470352877609,0.151307572670364,0.16968,-0.0295851604825505,-0.0108242278252016,2.90637675634761,60,0.281963185372042,0.247470352877609,0.151307572670364,0.16968,-0.0295851604825505,-0.0108242278252016,2.90637675634761,60,0.281963185372042,0.247470352877609,0.151307572670364,0.16968,-0.0295851604825505,-0.0108242278252016,2.90637675634761,-81,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,5,0.388038012802696,0.503282926656515,0.200526524138709,0.366666666666667,-0.0541682460930857,-0.0460567906669602,0.990076079314344,5,0.388038012802696,0.503282926656515,0.200526524138709,0.366666666666667,-0.0541682460930857,-0.0460567906669602,0.990076079314344,-5,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",35,0.328576554604558,0.356728919223553,0.197857839037857,0.346153846153846,0.0670219593479224,-0.00243397954227424,0.272727272727273,35,0.328576554604558,0.356728919223553,0.197857839037857,0.346153846153846,0.0670219593479224,-0.00243397954227424,0.272727272727273,35,0.328576554604558,0.356728919223553,0.197857839037857,0.346153846153846,0.0670219593479224,-0.00243397954227424,0.272727272727273,-68,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",NA,NA,NA,NA,NA,NA,NA,NA,5,0.438540968776973,0.348405257295275,0.174352942890614,0.293877551020408,0.0487862423782922,0.0479758792703923,0.986021332620157,5,0.438540968776973,0.348405257295275,0.174352942890614,0.293877551020408,0.0487862423782922,0.0479758792703923,0.986021332620157,-5,"2013","Europe and Central Asia","Croatia","High income"
