"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",2,0.236247374124517,0.236247374124517,0.0409084813906632,0.0578533291987633,0.00987577702809522,0.0116247343717141,0.785882430378223,7,0.1306138578134,0.124272671891848,0.0808534440949132,0.120871345129128,0.0419061132097755,0.0438302983404381,0.108435455355838,2,0.379468642330723,0.379468642330723,0.108850937872778,0.153938472616714,-0.033163967949459,-0.0316932149505,1.54734700798401,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",39,0.145044394949598,0.0729259672842077,0.14990811729712,0.20155,-0.00379804323886485,-0.00364300604418857,0.699537728166013,37,0.0616721210027802,0.0338029724866804,0.0680063289538772,0.080683262209578,0.0480382288817835,0.0473173953182497,1.01178887755317,33,0.188981161506027,0.175798895297747,0.143654100651838,0.225,-0.0085730390007892,-0.00528678293131625,1.53977933545196,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",53,0.316235693547542,0.269622683005465,0.188558947409941,0.2,0.000204651779260651,-0.00115348366652733,0.940574716452554,27,0.260228749699062,0.211701358669189,0.192585963185259,0.176139258309938,-0.0159510245921976,-0.0193323235672196,1.14570303863516,44,0.300861505934203,0.320044402572019,0.217878802586284,0.338333333333333,0.0033495119643249,0.0149879306096929,0.764100736435067,0,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",5,0.25289741414751,0.223501493395225,0.0918992929342564,0.086181520850368,0.0260915958912235,0.0264934816154548,0.613120681890195,1,0.210433331697502,0.210433331697502,NA,0,0,0,1,1,0.234043914981428,0.234043914981428,Inf,0,0,0,1,3,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",11,0.177769776461157,0.207644723895709,0.097305883205383,0.119428,-0.0016529707364767,-0.000889932328178856,0.921800848586636,6,0.339270068996276,0.191385265098326,0.319772017197511,0.683149274651275,0.152614846482463,0.137454032705838,0.395329119676767,2,0.101809666666667,0.101809666666667,0.0261294811829261,0.0369526666666666,0.00479016049382716,0.00479016049382716,0.794117647058823,0,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,0.282221666666667,0.282221666666667,NA,0,0,0,1,1,0.0737471157526382,0.0737471157526382,NA,0,0,0,1,1,0.179591836734694,0.179591836734694,NA,0,0,0,1,6,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Cotedivoire","Cotedivoire2009",2,0.685292215200015,0.685292215200015,0.0117223597360354,0.00414448003042933,0.000403666722073814,0.000552597337390585,0.968460298753757,1,0.155,0.155,NA,0,0,0,1,9,0.350695139383816,0.359986359303773,0.138493455748481,0.254117647058824,-0.0354447727589343,-0.0303836485211368,0.77302888013662,0,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",31,0.34953004858517,0.166881448496847,0.344771850732745,0.426069594980034,0.00670959535299775,-0.0202106733214357,0.562288397557413,9,0.114051480296227,0.123670147338876,0.076336975159278,0.0833333333333333,0.00196044391958719,0.0062484866156096,0.964285705162554,50,0.394908382476886,0.323392021743917,0.300678858429589,0.328571428571429,-0.0108729125712161,-0.0160881001637691,1.01611207068562,4,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",3,0.037035285016835,0.03605535,0.0230964046150263,0.0461616161616162,0.00850925502298627,0.00850925502298627,0.918367346938776,7,0.084911165411811,0.0333333333333333,0.0865162860480163,0.154693142266978,0.0338681862469214,0.0338681862469214,NA,9,0.0825914406042284,0.0768248175182482,0.0806928795132393,0.0733333333333333,0.0157234106671508,0.0157234106671508,0.411764705882353,3,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",1,0.72,0.72,Inf,0,0,0,1,1,0.42480515079634,0.42480515079634,Inf,0,0,0,1,3,0.626588338835289,0.69727175865558,0.308359668124155,0.14789672973607,-0.164018918627658,-0.129667695887591,1.89566379130596,4,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
