"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",6,0.232646448622773,0.268680392977805,0.0884600879964401,0.160196694473976,-0.0602460658323976,-0.077885024311842,2.60248893627194,6,0.232646448622773,0.268680392977805,0.0884600879964401,0.160196694473976,-0.0602460658323976,-0.077885024311842,2.60248893627194,-3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",25,0.204013226450847,0.0962168918699269,0.217777704614169,0.298258706467662,-0.0640898582409023,-0.0171411535456582,1.98744457236582,25,0.204013226450847,0.0962168918699269,0.217777704614169,0.298258706467662,-0.0640898582409023,-0.0171411535456582,1.98744457236582,-47,25,0.204013226450847,0.0962168918699269,0.217777704614169,0.298258706467662,-0.0640898582409023,-0.0171411535456582,1.98744457236582,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",6,0.339235620401475,0.352509794063949,0.0710714224672942,0.00416666666666671,-0.0462475593857588,-0.101488095238095,0.272373621454243,6,0.339235620401475,0.352509794063949,0.0710714224672942,0.00416666666666671,-0.0462475593857588,-0.101488095238095,0.272373621454243,-12,6,0.339235620401475,0.352509794063949,0.0710714224672942,0.00416666666666671,-0.0462475593857588,-0.101488095238095,0.272373621454243,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",15,0.122710167949446,0.123238205351086,0.0520280047975069,0.05,0.00976681094396189,-0.000555614283552325,0.294713894110787,15,0.122710167949446,0.123238205351086,0.0520280047975069,0.05,0.00976681094396189,-0.000555614283552325,0.294713894110787,-28,15,0.122710167949446,0.123238205351086,0.0520280047975069,0.05,0.00976681094396189,-0.000555614283552325,0.294713894110787,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",65,0.131730406470081,0.0823869078478223,0.10968845327166,0.0979059113572388,0.00779848930726648,0.00837090946467923,1.15030132957405,65,0.131730406470081,0.0823869078478223,0.10968845327166,0.0979059113572388,0.00779848930726648,0.00837090946467923,1.15030132957405,-126,65,0.131730406470081,0.0823869078478223,0.10968845327166,0.0979059113572388,0.00779848930726648,0.00837090946467923,1.15030132957405,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",6,0.17132206901544,0.191323800986259,0.0826354374441501,0.0357309097572697,-0.0448454627436093,0.0112456355684626,2.14726507713885,6,0.17132206901544,0.191323800986259,0.0826354374441501,0.0357309097572697,-0.0448454627436093,0.0112456355684626,2.14726507713885,-12,6,0.17132206901544,0.191323800986259,0.0826354374441501,0.0357309097572697,-0.0448454627436093,0.0112456355684626,2.14726507713885,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Guatemala","Guatemala2010",5,0.199447873970959,0.254156435309887,0.136674983284627,0.207353414186517,-0.0304958715316211,-0.0130749041755769,1.55268774164363,5,0.199447873970959,0.254156435309887,0.136674983284627,0.207353414186517,-0.0304958715316211,-0.0130749041755769,1.55268774164363,-8,5,0.199447873970959,0.254156435309887,0.136674983284627,0.207353414186517,-0.0304958715316211,-0.0130749041755769,1.55268774164363,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",6,0.229735178411437,0.254444109726252,0.123063073537981,0.188888888888889,-0.0110213020619374,-0.0116094621195808,0.35644759270788,6,0.229735178411437,0.254444109726252,0.123063073537981,0.188888888888889,-0.0110213020619374,-0.0116094621195808,0.35644759270788,-12,6,0.229735178411437,0.254444109726252,0.123063073537981,0.188888888888889,-0.0110213020619374,-0.0116094621195808,0.35644759270788,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",166,0.136435174375411,0.101341328319455,0.0932724016164871,0.120833333333333,0.000413971580716167,-0.0175695964626794,0.478142778285072,166,0.136435174375411,0.101341328319455,0.0932724016164871,0.120833333333333,0.000413971580716167,-0.0175695964626794,0.478142778285072,-332,166,0.136435174375411,0.101341328319455,0.0932724016164871,0.120833333333333,0.000413971580716167,-0.0175695964626794,0.478142778285072,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",6,0.15834567569444,0.152046460176991,0.0619018385004591,0.055,0.016905199286608,0.0184308282320779,0.453754884741472,NA,NA,NA,NA,NA,NA,NA,NA,-6,6,0.15834567569444,0.152046460176991,0.0619018385004591,0.055,0.016905199286608,0.0184308282320779,0.453754884741472,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Kenya","Kenya2013",3,0.042025038723366,0.0318105099108538,0.0475047166650654,0,0.00699785653964245,0.0094160957555713,0.594259099172032,3,0.042025038723366,0.0318105099108538,0.0475047166650654,0,0.00699785653964245,0.0094160957555713,0.594259099172032,-1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",NA,NA,NA,NA,NA,NA,NA,NA,6,0.151728601619749,0.141656321204916,0.0342541329362483,0.0627892800840777,0.0272053961714898,0.0300607694113523,0.163823470486412,-6,6,0.151728601619749,0.141656321204916,0.0342541329362483,0.0627892800840777,0.0272053961714898,0.0300607694113523,0.163823470486412,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",6,0.301912807797545,0.280642187329288,0.196011714257749,0.279066518811346,-0.196310011933917,-0.113717064626107,3.53635351925263,6,0.301912807797545,0.280642187329288,0.196011714257749,0.279066518811346,-0.196310011933917,-0.113717064626107,3.53635351925263,-12,6,0.301912807797545,0.280642187329288,0.196011714257749,0.279066518811346,-0.196310011933917,-0.113717064626107,3.53635351925263,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",6,0.128706560174688,0.0673749475872009,0.154210016040887,0.0431666666666667,-0.0201720894485418,-0.0283636928667049,0.967460197542844,NA,NA,NA,NA,NA,NA,NA,NA,-6,6,0.128706560174688,0.0673749475872009,0.154210016040887,0.0431666666666667,-0.0201720894485418,-0.0283636928667049,0.967460197542844,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nigeria","Nigeria2014",6,44.4021448834473,0.191229845249789,120.602922701164,0.38,89.0676685073531,65.0750322222222,0.181242418401277,6,44.4021448834473,0.191229845249789,120.602922701164,0.38,89.0676685073531,65.0750322222222,0.181242418401277,-12,6,44.4021448834473,0.191229845249789,120.602922701164,0.38,89.0676685073531,65.0750322222222,0.181242418401277,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",11,0.158965514184001,0.128740182706987,0.140368448511402,0.25,-0.0155826088160881,-0.0412860038332269,0.33730648290885,11,0.158965514184001,0.128740182706987,0.140368448511402,0.25,-0.0155826088160881,-0.0412860038332269,0.33730648290885,-21,11,0.158965514184001,0.128740182706987,0.140368448511402,0.25,-0.0155826088160881,-0.0412860038332269,0.33730648290885,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",5,0.0514845963244868,0.0389460069822138,0.0431799869422501,0.0377714932126697,-0.0160177519345114,-0.0216596575895383,3.445873815838,5,0.0514845963244868,0.0389460069822138,0.0431799869422501,0.0377714932126697,-0.0160177519345114,-0.0216596575895383,3.445873815838,-5,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Peru","Upper middle income"
