"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","outliersOut","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",12,0.267690836355618,0.175340184326987,0.218488349142315,0.0882608695652174,-0.0594094932918967,-0.0482700740130066,0.924013933639803,12,0.267690836355618,0.175340184326987,0.218488349142315,0.0882608695652174,-0.0594094932918967,-0.0482700740130066,0.924013933639803,-11,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",6,0.157180886345378,0.114608104118432,0.172646607183874,0.235037974683544,-0.0504734397976686,-0.0468951734653478,0.860690900809174,NA,NA,NA,NA,NA,NA,NA,NA,-6,6,0.157180886345378,0.114608104118432,0.172646607183874,0.235037974683544,-0.0504734397976686,-0.0468951734653478,0.860690900809174,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",8,0.193919352358758,0.203686272352899,0.057777155368445,0.078373015873016,-0.0131193808805976,-0.0135659303882195,NA,8,0.193919352358758,0.203686272352899,0.057777155368445,0.078373015873016,-0.0131193808805976,-0.0135659303882195,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",4,0.318199777382072,0.323015438372234,0.108939805037222,0,-0.124133677159052,-0.0562766775696848,3.50352932892876,NA,NA,NA,NA,NA,NA,NA,NA,-3,4,0.318199777382072,0.323015438372234,0.108939805037222,0,-0.124133677159052,-0.0562766775696848,3.50352932892876,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",5,0.0182317621824312,0.0172433586040385,0.0078739049806821,0.008,-0.00147025306930548,-0.000922988505747127,1.45950001993478,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",5,0.381324691488854,0.4,0.158555936746029,0.0562500000000001,-0.0484495660183203,-0.0490551282051282,0.698859592706444,5,0.381324691488854,0.4,0.158555936746029,0.0562500000000001,-0.0484495660183203,-0.0490551282051282,0.698859592706444,-5,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",87,0.228595717580822,0.176419986395418,0.183314271392195,0.247929411764706,-0.116121655938429,-0.10518360390263,2.91253931484724,87,0.228595717580822,0.176419986395418,0.183314271392195,0.247929411764706,-0.116121655938429,-0.10518360390263,2.91253931484724,-173,87,0.228595717580822,0.176419986395418,0.183314271392195,0.247929411764706,-0.116121655938429,-0.10518360390263,2.91253931484724,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",8,0.293347263193928,0.265348645524706,0.15467764374064,0.2,0.00609442192565969,0.00694601975498867,1.10894182163013,8,0.293347263193928,0.265348645524706,0.15467764374064,0.2,0.00609442192565969,0.00694601975498867,1.10894182163013,-8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",4,0.396413175275013,0.398861994532362,0.194799483182222,5.55111512312578e-17,-0.143480858867418,-0.0545129824565149,1,4,0.396413175275013,0.398861994532362,0.194799483182222,5.55111512312578e-17,-0.143480858867418,-0.0545129824565149,1,-7,4,0.396413175275013,0.398861994532362,0.194799483182222,5.55111512312578e-17,-0.143480858867418,-0.0545129824565149,1,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",12,0.21108514390602,0.200397456616956,0.0569348350240118,0.08030303030303,0.0049769379891383,0.00783524807243644,NA,12,0.21108514390602,0.200397456616956,0.0569348350240118,0.08030303030303,0.0049769379891383,0.00783524807243644,NA,-12,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
