"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",5,0.443261417831108,0.46152466421442,0.117674656561834,0.198837362927731,-0.0121064776001742,0.00246770249597906,1.70770276085649,5,0.513813936203373,0.505676845855622,0.189007509292748,0.0742214463467841,-0.042518587477316,-0.0309231963514775,1.48937870689889,4,0.404177975741512,0.4042993588636,0.0152403098044037,0.0190939401230537,-0.00190413133036503,-0.00256529626005491,1.70794471895954,3,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",11,0.205980307085558,0.0647745640777796,0.41625135504633,0.29771584861029,-0.00988518372370126,-0.00748565534147556,0.566351663252487,2,0.284110588460047,0.284110588460047,0.0812521563852678,0.114907901532105,-0.00442300893536086,-0.00441953467431174,1.07792798792399,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",33,0.438551922815872,0.443878776319869,0.155761453031928,0.148544378698225,0.0128261667020382,0.0171326342776377,0.626378976917858,18,0.476797653746938,0.50032361508039,0.201426022889976,0.303718812807972,0.00334417967370879,-0.00710541294950123,1.02632480020294,2,0.398847779662175,0.398847779662175,0.0853072329082422,0.120642645747357,0.0176567570866407,0.0245055374174318,0.827298377941528,1,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",3,0.52961252179361,0.56232427366448,0.231974089977026,0.460475555867293,0.0527752890216717,0.0527752890216717,1,1,0.3168854685378,0.3168854685378,NA,0,0,0,1,1,0.340281112060063,0.340281112060063,NA,0,0,0,1,0,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",7,0.363884727244542,0.365451801827374,0.119181856158924,0.191819475007553,-0.0271460177379216,-0.03451179370629,1.43015901976432,1,0.769230769230769,0.769230769230769,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",6,0.440887026646325,0.407281373594894,0.20181405810418,0.2301830974095,-0.0128331007762407,-0.0128331007762407,1,1,0.383877159309021,0.383877159309021,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",8,0.72219034987983,0.703681313180241,0.240497078885615,0.391578822413498,0.00753659212312324,-0.00714000641860137,0.933084041788326,3,0.8855564608119,0.923746815987846,0.466077377063063,0.477088531819716,-0.0685058196234695,-0.167627432089651,0.93492820375606,1,0.557522123893805,0.557522123893805,NA,0,0,0,1,0,"2015","South Asia","Bhutan","Lower middle income"
"Botswana","Botswana2010",2,0.386127828634121,0.386127828634121,0.06613719194911,0.093532113831704,0.0115000265629785,0.0155886856386173,0.850934031761773,4,0.333888220039494,0.329186648100908,0.09463429950731,0.154479611308598,0.014146664281068,0.0146351013132235,0.652870214159084,3,0.390238409642845,0.398702175566805,0.0889361285990569,0.176334522087748,-0.00687923951158488,-0.00683281630157226,1.00340559320063,0,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Burkinafaso","Burkinafaso2009",3,0.330163798216703,0.313255542433394,0.225230196001097,0.21969926571084,0,0,1,2,0.167061634199301,0.167061634199301,0.0497325741243735,0.0703324808184143,-0.00614073612137236,-0.00831202046035805,1.442988248251,NA,NA,NA,NA,NA,NA,NA,NA,0,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",2,0.371566587405138,0.371566587405138,0.11621981035444,0.164359632019678,0.00630039144936837,0.00632152430844916,0.92087824685325,9,0.312640036289943,0.251255730855104,0.192713870939427,0.357630757986927,-0.00457860369094688,-0.00459529625943548,0.706777640062961,NA,NA,NA,NA,NA,NA,NA,NA,0,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",3,0.383593462930569,0.37193202674544,0.12947695084691,0.188606850070349,0.0562074126507349,0.062806049200464,0.544587848831272,6,0.211326709493201,0.176572797486879,0.210731612440489,0.200690463270971,0.00533558100847406,-0.005607229236115,1.08227418807549,2,0.141977419694345,0.141977419694345,0.0900124842026027,0.127296875942215,0.00644896067548665,0.00644896067548665,0.908,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
