"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",20,0.845586235907756,0.493181443153222,0.968212776373789,1.05573016550289,0.0130332431514854,-0.0333120578126128,0.504070458014035,18,0.42439176624952,0.451651436334321,0.200014989162403,0.175471474808027,-0.101165075967815,-0.0776140430060397,1.12925474967018,1,0.398815190944674,0.398815190944674,NA,0,0,0,1,4,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",19,0.35972774996223,0.260615761151574,0.234198062192323,0.457168390144262,0.0170209168562391,0.010376253173197,0.949885401702487,1,0.164179104477612,0.164179104477612,NA,0,0,0,NA,14,0.380030076067181,0.355922166488188,0.265792897714023,0.285509325681492,0.0137790176469148,0.0145573151695375,0.834659908236411,2,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",3,0.400951927978365,0.418728271549566,0.0606124430468679,0.114369458055157,0.0113997225071649,0.0101664163269765,0.999316105856567,1,0.415553576729,0.415553576729,NA,0,0,0,1,1,0.125571725571726,0.125571725571726,NA,0,0,0,1,0,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bih","Bih2013",1,0.106824925816024,0.106824925816024,NA,0,0,0,1,1,0.11494615846149,0.11494615846149,NA,0,0,0,1,7,0.371901941040786,0.202978857069912,0.380046400836363,0.563574488059614,0.0164888649819299,0.00964408701967735,0.93216869450134,0,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",5,0.372788175254725,0.349310730201979,0.178012894157319,0.275115910328581,-0.0397297195099927,-0.0340105165470923,1.20006632777522,2,0.139316240605789,0.139316240605789,0.110107540112588,0.155715576546762,-0.0820586480837455,-0.0642635712732668,3.36963604800669,1,0.262345679012346,0.262345679012346,NA,0,0,0,1,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.586905440328357,0.586905440328357,0.0505525571285626,0.071492111903854,0.0137187611747767,0.0147189642154993,0.746774728865077,3,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",2,0.575761800121785,0.575761800121785,0.374208026023318,0.529210065551041,0.0554973826430814,0.0693624843197966,0.865905556973043,3,0.0993805129108527,0.126262993793021,0.0842723079511406,0.152191750210635,0.0195745821303559,0.016801416878672,0.577647108318728,NA,NA,NA,NA,NA,NA,NA,NA,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",25,0.321084921266715,0.309348190737982,0.228044440093215,0.302976966536289,-0.00689230784716828,-0.0113012251364032,1.06821479495406,23,0.348107121365214,0.269421510287156,0.234370136976493,0.397055818440439,-0.0564427014983384,-0.0449689791977635,1.66169879637767,21,0.448280625951824,0.37251730665347,0.221287435625551,0.235522428057546,0.0164233274666444,0.029692983243597,0.859777966633377,3,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",61,0.355211283481725,0.338434996016912,0.17173489780432,0.244449987528062,0.00901144546471622,0.0110089692644718,1.81911975127243,47,0.371565903080898,0.337650528452334,0.221385107207556,0.346762925011644,-0.104425461675304,-0.0893493690701248,0.969949955326556,12,0.27329158710426,0.210056267332262,0.152126279739873,0.14053350683149,-0.00625908370397654,0.00315579631156283,1.04971685748705,1,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",18,0.332427201578446,0.239297430017637,0.214133136557804,0.255255671638768,-0.0178437923680772,-0.0270394072772093,0.969609821217224,16,0.424337453146242,0.419755553075367,0.183195517454708,0.25575634745027,-0.0708207794248743,-0.0403423939072503,2.59297345033223,6,0.244634068744224,0.23664558387138,0.0934576899014908,0.00544662309368191,-0.00696445206282306,-0.0129719762252625,2.14073493160743,8,"2010","Latin America and Caribbean","Colombia","Upper middle income"
