"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",83,0.530479344172413,0.515082671077498,0.259113533793198,0.352942276557988,-0.00997134091933298,0.00269792366678259,1.16122675984843,83,0.530479344172413,0.515082671077498,0.259113533793198,0.352942276557988,-0.00997134091933298,0.00269792366678259,1.16122675984843,83,0.530479344172413,0.515082671077498,0.259113533793198,0.352942276557988,-0.00997134091933298,0.00269792366678259,1.16122675984843,-161,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",3,0.590481803000354,0.579755438671794,0.0487299868046502,0.0946000437543972,-0.0146625986420517,-0.017700236328873,5.15384615384615,3,0.590481803000354,0.579755438671794,0.0487299868046502,0.0946000437543972,-0.0146625986420517,-0.017700236328873,5.15384615384615,3,0.590481803000354,0.579755438671794,0.0487299868046502,0.0946000437543972,-0.0146625986420517,-0.017700236328873,5.15384615384615,-3,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",25,0.499140371803707,0.507956814226844,0.193849892288955,0.315786819946554,-0.0147893637438163,0.0147982852558322,1.90896242896898,25,0.499140371803707,0.507956814226844,0.193849892288955,0.315786819946554,-0.0147893637438163,0.0147982852558322,1.90896242896898,25,0.499140371803707,0.507956814226844,0.193849892288955,0.315786819946554,-0.0147893637438163,0.0147982852558322,1.90896242896898,-48,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",134,0.402115769025829,0.363990010897607,0.273069632239893,0.389189032091845,-0.142583457815762,-0.11216581233667,1.28170997859712,134,0.402115769025829,0.363990010897607,0.273069632239893,0.389189032091845,-0.142583457815762,-0.11216581233667,1.28170997859712,134,0.402115769025829,0.363990010897607,0.273069632239893,0.389189032091845,-0.142583457815762,-0.11216581233667,1.28170997859712,-265,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",8,0.595783031750096,0.612535525148498,0.30605621829562,0.579061953361942,-0.134506617272608,-0.153765827118838,1.20997490632933,8,0.595783031750096,0.612535525148498,0.30605621829562,0.579061953361942,-0.134506617272608,-0.153765827118838,1.20997490632933,8,0.595783031750096,0.612535525148498,0.30605621829562,0.579061953361942,-0.134506617272608,-0.153765827118838,1.20997490632933,-15,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",14,0.483179691495196,0.413378674947239,0.230665319847885,0.342814301117139,-0.0270983270743712,-0.0740614875641693,0.0745187744638395,14,0.483179691495196,0.413378674947239,0.230665319847885,0.342814301117139,-0.0270983270743712,-0.0740614875641693,0.0745187744638395,14,0.483179691495196,0.413378674947239,0.230665319847885,0.342814301117139,-0.0270983270743712,-0.0740614875641693,0.0745187744638395,-26,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",124,0.281787973220339,0.309248850834378,0.20505752337009,0.260590500641848,-0.00612131362374647,0.0412873941610994,0.631137976435976,124,0.281787973220339,0.309248850834378,0.20505752337009,0.260590500641848,-0.00612131362374647,0.0412873941610994,0.631137976435976,124,0.281787973220339,0.309248850834378,0.20505752337009,0.260590500641848,-0.00612131362374647,0.0412873941610994,0.631137976435976,-247,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",20,0.500152575244635,0.51816310715869,0.237130117409786,0.464469551815576,-0.0916538244395402,0.00494010978164402,2.32498874679958,20,0.500152575244635,0.51816310715869,0.237130117409786,0.464469551815576,-0.0916538244395402,0.00494010978164402,2.32498874679958,20,0.500152575244635,0.51816310715869,0.237130117409786,0.464469551815576,-0.0916538244395402,0.00494010978164402,2.32498874679958,-40,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",12,0.428338643483224,0.398743990273857,0.174318119998646,0.260770156189706,0.0271690133098722,0.0227596140804026,0.982950986135797,12,0.428338643483224,0.398743990273857,0.174318119998646,0.260770156189706,0.0271690133098722,0.0227596140804026,0.982950986135797,12,0.428338643483224,0.398743990273857,0.174318119998646,0.260770156189706,0.0271690133098722,0.0227596140804026,0.982950986135797,-23,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",6,0.628867502083564,0.666782712349126,0.141883290088844,0.0258284532354842,-0.0711054499798682,-0.125086351561463,7.39832424304221,NA,NA,NA,NA,NA,NA,NA,NA,6,0.628867502083564,0.666782712349126,0.141883290088844,0.0258284532354842,-0.0711054499798682,-0.125086351561463,7.39832424304221,-6,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",10,0.422514713383336,0.331391249438698,0.309588082888402,0.654018955276885,-0.0751726551067729,-0.0618810715938271,2.15751044400928,10,0.422514713383336,0.331391249438698,0.309588082888402,0.654018955276885,-0.0751726551067729,-0.0618810715938271,2.15751044400928,10,0.422514713383336,0.331391249438698,0.309588082888402,0.654018955276885,-0.0751726551067729,-0.0618810715938271,2.15751044400928,-19,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",9,0.43692142811501,0.476805418691571,0.207492382842206,0.177859046674518,0.0736507351047631,0.0674163506299722,0.426927687125124,9,0.43692142811501,0.476805418691571,0.207492382842206,0.177859046674518,0.0736507351047631,0.0674163506299722,0.426927687125124,9,0.43692142811501,0.476805418691571,0.207492382842206,0.177859046674518,0.0736507351047631,0.0674163506299722,0.426927687125124,-17,"2013","Europe and Central Asia","Czech Republic","High income"
"Egypt","Egypt2013",27,0.306624634029269,0.203970005923906,0.346469223295681,0,0.142256761499075,0.0119056196796525,0.0587416902698134,27,0.306624634029269,0.203970005923906,0.346469223295681,0,0.142256761499075,0.0119056196796525,0.0587416902698134,27,0.306624634029269,0.203970005923906,0.346469223295681,0,0.142256761499075,0.0119056196796525,0.0587416902698134,-44,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
