"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",3,0.781085775914946,0.623328768501117,0.483710174597631,0.00332903881925151,-0.0633438377891286,-0.123532772884334,1,3,0.781085775914946,0.623328768501117,0.483710174597631,0.00332903881925151,-0.0633438377891286,-0.123532772884334,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",21,0.398523730682299,0.374815283576315,0.228645986316321,0.428404802744425,-0.12571352384128,-0.0902981665359181,1,21,0.398523730682299,0.374815283576315,0.228645986316321,0.428404802744425,-0.12571352384128,-0.0902981665359181,1,-42,21,0.398523730682299,0.374815283576315,0.228645986316321,0.428404802744425,-0.12571352384128,-0.0902981665359181,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",42,0.448886324404429,0.558609291118379,0.218744091231655,0.344801779070265,-0.165256257894601,-0.0292789347761541,1.17542490273336,42,0.448886324404429,0.558609291118379,0.218744091231655,0.344801779070265,-0.165256257894601,-0.0292789347761541,1.17542490273336,-46,42,0.448886324404429,0.558609291118379,0.218744091231655,0.344801779070265,-0.165256257894601,-0.0292789347761541,1.17542490273336,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",99,0.327026456703178,0.251512280250293,0.235169044827848,0.318384095889799,-0.0772155176078652,-0.0509891778555266,2.58140002571897,99,0.327026456703178,0.251512280250293,0.235169044827848,0.318384095889799,-0.0772155176078652,-0.0509891778555266,2.58140002571897,-197,99,0.327026456703178,0.251512280250293,0.235169044827848,0.318384095889799,-0.0772155176078652,-0.0509891778555266,2.58140002571897,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",4,0.604602511607511,0.63676321199536,0.271672054588703,0.191534498434185,-0.0365195936279194,0.029111163860448,1.02110376318307,4,0.604602511607511,0.63676321199536,0.271672054588703,0.191534498434185,-0.0365195936279194,0.029111163860448,1.02110376318307,-7,4,0.604602511607511,0.63676321199536,0.271672054588703,0.191534498434185,-0.0365195936279194,0.029111163860448,1.02110376318307,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",8,0.228691610059199,0.206075805495076,0.143714104043886,0.0114415623136551,0.0182985043806843,0.0313708281311351,0.634167341862695,8,0.228691610059199,0.206075805495076,0.143714104043886,0.0114415623136551,0.0182985043806843,0.0313708281311351,0.634167341862695,-15,8,0.228691610059199,0.206075805495076,0.143714104043886,0.0114415623136551,0.0182985043806843,0.0313708281311351,0.634167341862695,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",415,0.311773811062876,0.259775887120279,0.235224893526916,0.307825334286836,0.0323821831652239,0.048767939993746,0.809788196963272,415,0.311773811062876,0.259775887120279,0.235224893526916,0.307825334286836,0.0323821831652239,0.048767939993746,0.809788196963272,-826,415,0.311773811062876,0.259775887120279,0.235224893526916,0.307825334286836,0.0323821831652239,0.048767939993746,0.809788196963272,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,5,0.124653348849643,0.0894113303317087,0.134745371400684,0.16959616959617,-0.0229945142088087,-0.0266908058993733,1.24658102484094,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",12,0.28116316487341,0.294066164494874,0.194502890227009,0.157180102738842,-0.0186359021554626,-0.0234176273299426,1.56634282825021,12,0.28116316487341,0.294066164494874,0.194502890227009,0.157180102738842,-0.0186359021554626,-0.0234176273299426,1.56634282825021,-24,12,0.28116316487341,0.294066164494874,0.194502890227009,0.157180102738842,-0.0186359021554626,-0.0234176273299426,1.56634282825021,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Peru","Peru2010",4,0.591470767538278,0.279937830567907,0.66882368263534,1.26098560961963,-0.244870360442857,-0.250395562902214,1.3448582066707,4,0.591470767538278,0.279937830567907,0.66882368263534,1.26098560961963,-0.244870360442857,-0.250395562902214,1.3448582066707,-7,4,0.591470767538278,0.279937830567907,0.66882368263534,1.26098560961963,-0.244870360442857,-0.250395562902214,1.3448582066707,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",9,-0.259404691818583,-0.112713815191654,0.583760633396916,0.829613069647463,0.105168830208686,0.0685869403510849,1.12271983975292,9,-0.259404691818583,-0.112713815191654,0.583760633396916,0.829613069647463,0.105168830208686,0.0685869403510849,1.12271983975292,-16,9,-0.259404691818583,-0.112713815191654,0.583760633396916,0.829613069647463,0.105168830208686,0.0685869403510849,1.12271983975292,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",4,0.330700959024717,0.147928630493747,0.33944863591932,0.472841460566268,0.305839475051148,0.270957362546715,0.110642757500937,NA,NA,NA,NA,NA,NA,NA,NA,-2,4,0.330700959024717,0.147928630493747,0.33944863591932,0.472841460566268,0.305839475051148,0.270957362546715,0.110642757500937,"2012","Europe and Central Asia","Russian Federation","High income"
