"countryOnly","country","N_Medium firms","mean_Medium firms","median_Medium firms","sd_Medium firms","iqr_Medium firms","OPcov_Medium firms","OPcovNoWeights_Medium firms","indAlloc_Medium firms","N_Small firms","mean_Small firms","median_Small firms","sd_Small firms","iqr_Small firms","OPcov_Small firms","OPcovNoWeights_Small firms","indAlloc_Small firms","outliersOut","N_Large firms","mean_Large firms","median_Large firms","sd_Large firms","iqr_Large firms","OPcov_Large firms","OPcovNoWeights_Large firms","indAlloc_Large firms","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",16,0.52603714494903,0.242126696832579,0.644928576364696,0.566666666666667,-0.0586565706642562,0.00833457118207557,1.38114726601811,5,0.189872939375947,0.194753089019969,0.161537876981743,0.270871394007072,0.0207952573597302,0.0132853638671709,1.5875025877621,6,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",12,0.36821372766451,0.112321829231067,0.427474924141585,0.922279792746114,-0.0699728423696674,-0.0315998485366131,0.648730992033141,23,0.314954909796061,0.290008475904594,0.258546200553929,0.429612220916568,-0.0162093398081476,-0.0174742798270218,1.20626639659797,3,3,0.31179152904635,0.017424491260656,0.451187100032256,0.708333333333333,-0.00081871073770535,-0.00155269792772274,1.00463640371268,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",33,0.0277875028203598,0.00888998270393431,0.0399639313171587,0.0348612176470588,0.00291945994868372,0.00271693788968145,0.72485172878029,59,0.01663004585737,0.00235916183019114,0.0301956217657055,0.0141266475644699,0.00110166982857765,0.000913249680356923,0.923076923076923,8,21,0.0413339036523232,0.0162409436586178,0.0507088889741028,0.0939136302294197,-0.00331265998839464,-0.00283629075023586,0.991824246073118,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",6,0.389932795698925,0.393548387096774,0.0592699782715917,0.09,-0.0115203723451524,-0.0115203723451524,1.775,25,0.406352194983493,0.408602150537634,0.115508533866239,0.176923076923077,0.00470390676485862,0.00470390676485862,0.818181818181818,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",254,0.499828814072161,0.5,0.239220108143611,0.388,0.0189275094779997,0.00705143522042452,1,178,0.43518087582773,0.4,0.226704759112442,0.365384615384615,0.00295784571220649,0.00192338290018188,0.862374897593985,9,215,0.423095227063257,0.416666666666667,0.228118880421513,0.343333333333334,-0.0740589599075974,-0.0624582122274457,1.43941348689285,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",23,0.291451755673998,0.29698351447332,0.13804194027559,0.182608695652174,0.00661506893381225,-0.000844456868845894,0.910250902201642,30,0.351273096467371,0.375,0.212485024428381,0.26,-0.00301311675629151,0.00106524734042224,0.765027296954591,3,10,0.552733435130168,0.660683231555316,0.245923324576953,0.316881268906691,0.00671062432002175,0.00443829094512296,0.994013024835198,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",43,0.339184931059776,0.333333333333333,0.160069624656035,0.164705882352941,0.00738444701257346,0.0114246660102015,0.715332445724974,27,0.311746036280269,0.351233019314022,0.151848815880942,0.143589743589744,0.0135933479789633,0.00713423072792365,0.880277854995734,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",14,0.498925747246685,0.4775,0.125034381843648,0.15,0.0160026106970966,0.0141085516739408,0.769230769230769,19,0.466668386857301,0.463166666666667,0.0974590694381394,0.126315789473684,-0.00118672169205725,-0.00179452671849218,1.38461538461538,0,3,0.523555555555556,0.522285714285714,0.11531984506869,0.136,-0.0190426289785131,-0.00730955526199911,1,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",421,0.452658395450769,0.466666666666667,0.236934809470338,0.347222222222222,6.91281745998411e-05,-0.00352622854206377,1.15384615384615,323,0.443057310336096,0.46277892939771,0.23742946413342,0.375,0.00412199705381278,0.00378484124422685,1.11111111111111,0,373,0.50542324588767,0.536947157784534,0.253228238934357,0.438440589244345,0.00171017876210923,0.00476072748027389,1.02683579753638,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",32,0.369874485860354,0.4,0.115708048232072,0.0911273959328988,0.00893895680720349,0.00893895680720349,0.909090909090909,19,0.400668843826739,0.4,0.0312723460761288,0.016666666666667,0.00234606209822027,0.00234606209822027,2,6,10,0.393695396715115,0.381818181818182,0.281546107627958,0.355964553510566,-0.0169607158753027,-0.0169607158753027,1,"2010","Latin America and Caribbean","Barbados","High income"
