"countryOnly","country","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",94,0.49231313680972,0.520663342805155,0.210612451605805,0.330866666666667,-0.121750331929633,-0.0972642918711438,1.47182937034356,94,0.49231313680972,0.520663342805155,0.210612451605805,0.330866666666667,-0.121750331929633,-0.0972642918711438,1.47182937034356,94,0.49231313680972,0.520663342805155,0.210612451605805,0.330866666666667,-0.121750331929633,-0.0972642918711438,1.47182937034356,-187,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",NA,NA,NA,NA,NA,NA,NA,NA,5,0.381729972425772,0.367159231416454,0.0738704010340516,0.043421052631579,0.0184196835633162,0.0212606719227218,0.471341994020542,5,0.381729972425772,0.367159231416454,0.0738704010340516,0.043421052631579,0.0184196835633162,0.0212606719227218,0.471341994020542,-5,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",6,0.488639411764706,0.418823529411765,0.177978242291194,0.03375,0.0573216144639674,0.034843706514864,0.440625,6,0.488639411764706,0.418823529411765,0.177978242291194,0.03375,0.0573216144639674,0.034843706514864,0.440625,6,0.488639411764706,0.418823529411765,0.177978242291194,0.03375,0.0573216144639674,0.034843706514864,0.440625,-12,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",110,0.520849576184083,0.539693493022561,0.229475129408853,0.32741935483871,-0.0849479845070745,-0.0655097968746652,4.35601856258531,110,0.520849576184083,0.539693493022561,0.229475129408853,0.32741935483871,-0.0849479845070745,-0.0655097968746652,4.35601856258531,110,0.520849576184083,0.539693493022561,0.229475129408853,0.32741935483871,-0.0849479845070745,-0.0655097968746652,4.35601856258531,-220,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",NA,NA,NA,NA,NA,NA,NA,NA,6,0.40047207376799,0.4,0.10822236871495,0.08,-0.033760922131183,-0.0168038150932888,NA,6,0.40047207376799,0.4,0.10822236871495,0.08,-0.033760922131183,-0.0168038150932888,NA,-6,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",NA,NA,NA,NA,NA,NA,NA,NA,2,0.176563405502524,0.176563405502524,0.15556349186104,0.22,-0.054746148866995,-0.0592307692307692,2.30917600224596,2,0.176563405502524,0.176563405502524,0.15556349186104,0.22,-0.054746148866995,-0.0592307692307692,2.30917600224596,1,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,5,0.3960229056796,0.370306592574519,0.241480977220109,0.325,0.0914558951080891,0.0768959355604849,0.355787431869104,5,0.3960229056796,0.370306592574519,0.241480977220109,0.325,0.0914558951080891,0.0768959355604849,0.355787431869104,-5,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",75,0.374331257178441,0.391940587071861,0.165913724534004,0.05584283370408,-0.0351017445064137,-0.0355029505752475,0.253227750745529,75,0.374331257178441,0.391940587071861,0.165913724534004,0.05584283370408,-0.0351017445064137,-0.0355029505752475,0.253227750745529,75,0.374331257178441,0.391940587071861,0.165913724534004,0.05584283370408,-0.0351017445064137,-0.0355029505752475,0.253227750745529,-108,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",NA,NA,NA,NA,NA,NA,NA,NA,5,0.126651649098012,0.0988728458851671,0.110807766963096,0.175307911795245,-0.0318535193986131,-0.0346955255734206,2.84434715980779,5,0.126651649098012,0.0988728458851671,0.110807766963096,0.175307911795245,-0.0318535193986131,-0.0346955255734206,2.84434715980779,-5,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Cameroon","Cameroon2009",4,0.242432540085583,0.259749916953003,0.245722401074058,0.457599700054789,0.0116941821979987,0.0310216109577569,1.8485826614455,4,0.242432540085583,0.259749916953003,0.245722401074058,0.457599700054789,0.0116941821979987,0.0310216109577569,1.8485826614455,4,0.242432540085583,0.259749916953003,0.245722401074058,0.457599700054789,0.0116941821979987,0.0310216109577569,1.8485826614455,-7,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
