"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",4,0.00200651923374613,0.00120046052631579,0.00265497155134006,0.00315815181888545,0.000369330695890796,0.000369330695890797,0.6875,1,0.0942982456140351,0.0942982456140351,NA,-1.38777878078145e-17,0,0,1,1,0.0125,0.0125,NA,0,0,0,1,0,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",18,0.45143510510605,0.512606390322977,0.325556009093654,0.4979918200409,0.0972879670790994,0.0204104743030847,0.904099987456734,28,0.437133476258313,0.429349558645367,0.21961387153002,0.416666666666667,-0.031177116659387,-0.011185683906878,1.40993227034245,6,0.24692317299927,0.165957772519074,0.344581474561358,0.457703333333333,0.0749104824649266,0.0703816881949198,0.557218431828338,3,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",4,0.406236116626707,0.357320568851966,0.134243768103343,0.196090620251416,-0.0344063511182731,-0.0340080730155326,0.849462647302667,3,0.23568405456361,0.238457255589792,0.01799836202447,0.0326086956521739,0.00525662420951151,0.00470000227515755,0.590662460472278,1,0.2000000016,0.2000000016,NA,0,0,0,1,0,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",11,0.460960326258129,0.382460700145236,0.307235179812275,0.383838383838384,0.0946701126679697,0.0678959793722815,NA,14,0.547034485581567,0.5,0.197327337178913,0.229166666666667,0.0137557267817829,-0.00468463281279257,0.6,4,0.456094823408526,0.568962257850674,0.438582122450703,0.677534545454546,-0.0363668504887807,-0.0208454545454545,0.980091057673335,1,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",4,0.427784454268877,0.467793489638922,0.285792959288912,0.2876,-0.0139494851132879,-0.00980266666666667,1.67395436465584,3,0.265944735738247,0.266225022853396,0.0280879775539638,0.0377777777777778,-0.00167520974557392,-0.00432098765432099,1.05917145993146,1,0.1,0.1,NA,0,0,0,1,0,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",3,0.480174279728916,0.5,0.3394459264786,0.678022839186748,-0.0359119164862308,-0.0359119164862308,1.5,1,0.537837837837838,0.537837837837838,NA,0,0,0,1,1,0.444304652702264,0.444304652702264,NA,0,0,0,1,0,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",1,0.26,0.26,NA,0,0,0,1,7,0.237741439836298,0.235554514019915,0.247976816864483,0.389866945520463,0.0474341332286848,0.0674613523741507,0.905880697604542,NA,NA,NA,NA,NA,NA,NA,NA,3,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",5,0.378910159597285,0.321596726209062,0.312072226477069,0.4,-0.0379822802637542,-0.0389901120448179,1.22606430098044,4,0.587970302993864,0.698494477541833,0.29333403568922,0.611951891891892,0.0371194797131293,0.0337795199591834,0.612746743005269,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",7,0.200031855549307,0.210966437919698,0.209850759528061,0.338481199713818,-0.0075560124945315,-0.00941258037451063,1.29754690583298,26,0.308341002818063,0.276574835682758,0.1633761449706,0.2356,0.00312148365698518,0.00352340374690796,0.819197868269611,24,0.277526358529122,0.289072832566885,0.229333888697666,0.423295454545455,0.0102479666641808,-0.012558885384505,1.14325238045533,0,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",5,0.54262133081883,0.600094861702324,0.156319838287982,0.333333333333333,-0.00862990978290314,0.00575223414546062,1.04442378331522,1,0.0745833333333333,0.0745833333333333,NA,0,0,0,1,1,0.623529411764706,0.623529411764706,NA,0,0,0,1,2,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",1,0.192307692307692,0.192307692307692,NA,0,0,0,1,1,0.333333333333333,0.333333333333333,NA,0,0,0,1,2,0.221871949633435,0.221871949633435,0.299051556746577,0.422922767399796,-0.113511738436309,-0.113511738436309,2.1588785046729,2,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Cameroon","Cameroon2009",3,0.221255041719937,0.166666666666667,0.17006683659758,0.326728088122773,-0.00988869718255605,-0.00988869718255605,1,4,0.414326924594028,0.491610855398179,0.276906483944634,0.5,0.0802194676272619,0.0449185168572924,1.09198614592384,1,0.466666666666667,0.466666666666667,NA,0,0,0,1,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",46,0.377191839799817,0.342036350489596,0.174156052091888,0.19613315190312,-0.0134876273517806,-0.00552806932849477,1.63692243243997,60,0.430005454932478,0.416997615713089,0.199815235707121,0.3,-0.0255419245512384,-0.00947498451633976,0.775976181614205,11,0.461669785897541,0.456048787603799,0.036766588937011,0.024189534727182,0.00714869421974096,0.00414244414427331,0.492519976720354,13,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",28,0.352830929758782,0.391330889827237,0.191235852982044,0.285714285714286,0.00577962296116699,0.0021809251103271,0.941813287369715,66,0.412932529310185,0.4,0.216496106638313,0.29,-0.033017486001543,-0.0238360652543667,2.08127375358414,64,0.374354712748124,0.4,0.202846358527732,0.247697368421053,0.0104675129792963,0.0429319756066136,0.737277858161113,1,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",59,0.270022560540777,0.199585484603571,0.158082270202274,0.163377192982456,0.00366209495971411,0.0144388813366574,0.548179993040819,38,0.426573603686423,0.401067312665048,0.140039037426089,0.190419416666667,0.00344056849588282,-0.000815028065304152,0.608239685839487,15,0.426262130064764,0.494599153675021,0.168813643408793,0.206313426072149,-0.0329393989165257,-0.0473454242826435,1.00944722894479,0,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",11,0.29433995384201,0.272867792977767,0.163050610842357,0.19,0.00857473251715475,0.0111014492753623,0.843154559582147,5,0.548246225591118,0.627937413125418,0.174372220447085,0.256371087928465,-0.0130901073782143,-0.0167991526154377,0.979810456264734,4,0.500328113921995,0.485830921340883,0.22632492393025,0.345,0.0953839675204218,0.102581546023235,0.31050076279122,1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",2,0.2,0.2,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0.612244897959184,0.612244897959184,NA,0,0,0,1,3,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",7,0.528520666161066,0.518797261029792,0.0950663634865923,0.121323529411765,-0.00592081003780033,-0.0058811858076564,1.13365535107887,5,0.394373859393963,0.41985687627958,0.133026574369141,0.216612665961746,-0.0315408533735558,-0.0390140737540914,0.765319018835393,1,0.202702702702703,0.202702702702703,NA,0,0,0,1,0,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",6,0.240397462439367,0.185460632478736,0.218218182636946,0.4,-0.00947811965575173,-0.0115122061874557,0.911436607603637,2,0.425235467570109,0.425235467570109,0.0883883476483184,0.125,0.00682586177307371,0.00694444444444445,0.880376748112174,1,0.0338983050847458,0.0338983050847458,NA,0,0,0,1,0,"2013","Europe and Central Asia","Czech Republic","High income"
"Dominicanrepublic","Dominicanrepublic2010",1,0.355555555555556,0.355555555555556,NA,0,0,0,1,3,0.477567336703389,0.466666666666667,0.131054595960152,0.26142829737304,-0.000621107016305093,-0.000621107016305102,1,4,0.501860978961978,0.489391039983056,0.141127727469593,0.214810924369748,-0.0172984152250565,-0.00802539511739656,1.27095253563689,0,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",19,0.207805504869712,0.220064274035164,0.10046285170445,0.111371527777778,-0.00310312713664145,-0.00312116583036473,1.16666666666667,4,0.134305070245019,0.0182477474250998,0.213374803560173,0.342718401909722,0.0737942544256373,0.0559485143171128,0.875889197214257,1,0.230769230769231,0.230769230769231,NA,0,0,0,1,1,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
