"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",2,0.755169896342268,0.755169896342268,0.348350955277881,0.492642645419603,-0.0840959195966025,-0.0989889427712286,1.84191194619896,5,0.495014560948289,0.739257372504926,1.78965499337518,3.85010959366043,0.153787952835271,0.0382916385503169,1.3965562720126,2,0.476097419766033,0.476097419766033,0.130194619586275,0.184122996766916,0.0396668166166626,0.0379076758049532,0.644727919993339,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",31,0.973402828045121,0.914478336037442,0.660316157065283,0.896612129138323,-0.0109612965691033,-0.0115469918398095,0.695964228499842,38,2.80597018147096,2.09646268227708,2.41716925319217,4.22111878492081,-0.552862102543297,-0.553833287548182,0.98020267780547,29,1.12335796462774,0.754144985482336,0.938547816654699,1.34953235591507,0.0725134069439368,0.0262750205533619,0.837851234557456,8,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",48,0.807970122038977,0.732358360190798,0.604971164455164,0.603156087683775,-0.0226706366514522,-0.0376200380702194,0.946782661305334,25,0.603277454189364,0.58338874840471,0.421696307649391,0.385805804017534,-0.030635369682669,0.0612225541272026,0.14485151065561,41,0.427051485940916,0.282815017610984,0.460734443552536,0.517364595130435,-0.0140138333752185,-0.00830734322827357,1.03760608273261,8,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",4,1.04157031688829,1.15668395641812,0.855673298775704,1.11190011243269,-0.181408155350604,-0.176562363219104,1.16449069153197,1,0.236574417141464,0.236574417141464,NA,0,0,0,1,2,1.73257029729459,1.73257029729459,0.0624334928821477,0,-0.00550442018681726,-0.0110367865475322,1.07563913905713,2,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",8,1.66793439305546,1.21743455766983,1.28067452182458,0.155392465891924,0.0548603899728004,0.121051082399938,0.882352941176471,4,2.22976194826699,1.92865968498478,1.49013467834686,2.19316972804967,-0.173069036510774,-0.237358051637556,0.991725865107208,2,2.91443884846117,2.91443884846117,0.0582647669879787,0.0823988236829076,0.0106813289959325,0.0106813289959325,0.794117647058823,1,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,0.224256034551773,0.224256034551773,NA,0,0,0,1,1,0.33797268852638,0.33797268852638,NA,0,0,0,1,1,1.31179960448253,1.31179960448253,NA,0,0,0,1,6,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Cotedivoire","Cotedivoire2009",1,0.0527546360774185,0.0527546360774185,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,6,0.0498085952186474,0.0395934263118051,0.0482167122820058,0.0189962833358691,-0.013063435525333,-0.0150512945775648,0.952002202049669,2,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",28,0.348516329915203,0.402940227250983,2.60846571834148,3.70250725426188,-0.0831310980779596,-0.17434699159277,0.531453028650607,9,0.52520293011604,0.229045507214459,0.638765585538377,0.829561249298631,-0.103820956711533,-0.113250551457363,1.5,39,0.521495145590683,0.604642500430724,1.01465702762361,0.40417638963681,-0.0260323811432737,0.000738612139676296,0.714285714285714,8,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",2,0.163927051520325,0.163927051520325,0.146706060873832,0.207473700970107,0.0660143593995794,0.0660143593995794,0.611111111111111,4,7.6528976330472,0.0909530857237764,15.8330573111148,8.18671307422435,-5.6925480682607,-5.6925480682607,0.24,7,0.0681712775993819,0.15547263681592,0.50761471153494,0.33657102657344,0.0192281066650087,0.0192281066650087,1,3,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",1,0.0245098039215686,0.0245098039215686,NA,0,0,0,1,1,0.254646568125274,0.254646568125274,NA,0,0,0,1,3,0.227617494461964,0.266961411296418,0.381994874728544,0.568605720665064,0.191853437585683,0.126356826814459,0.63188793043532,4,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Guatemala","Guatemala2010",2,2.53855718887488,2.53855718887488,1.93637790732027,2.73845189841195,0.622772323493067,0.847616063794176,0.745963322897418,1,0.395209580838323,0.395209580838323,NA,0,0,0,1,2,1.57371271413969,1.57371271413969,1.13410548170789,1.60386735339297,-0.0729145354430324,-0.0729030615178623,1.09108418470553,0,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",35,1.42426064547025,1.49361548737505,0.763189134773951,0.624886181724973,-0.0807568521211639,-0.13831423713487,1.01981404238445,27,1.80519837102437,1.9723158054309,1.08911859615866,1.06668838404217,-0.294781815328721,-0.00838319524313626,1.2782020189443,7,1.20986288590364,1.17124087224302,0.345098758085019,0.421663984325799,0.0631649375917632,0.097806158739912,0.759692607946958,8,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",4,0.572940433790282,0.493350987512232,0.498504864694233,1.12488020884967,0.0504471328069824,0.046457711289264,0.692811860272008,NA,NA,NA,NA,NA,NA,NA,NA,6,0.499648990780626,0.429722143831331,0.400508396241987,0.333379212583435,0.0879866161671018,0.0854014247426123,0.651336241640271,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",2,0.140818891415553,0.140818891415553,0.191398870667956,0.270678878721517,0.00420308817890554,0.00420308817890554,0.969879518072289,4,0.620648135258078,0.673318537636652,0.491855691318497,0.445962644118338,0.0182651338111691,0.0139303349092043,0.957358036036782,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",1,0.357142857142857,0.357142857142857,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0.128988381356336,0.128988381356336,0.151557624495574,0.21433484804269,0.07962056195129,0.0714449493475633,0.512810200413428,2,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",5,0.166818409647021,0.143711641059477,0.115430448558134,0.135424716095242,0.0251114555949784,0.0224333091361501,0.789252705181315,8,1.18469145705775,1.23601631975763,0.373223067286899,0.755797603080517,-0.312842097050754,-0.265929877890536,0.50652264107164,1,0.625,0.625,NA,0,0,0,1,11,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",1,0.127388535031847,0.127388535031847,NA,0,0,0,1,2,3.1320425366239,3.1320425366239,3.25899339539694,4.60891265945469,1.84356506378188,1.84356506378188,0.555555555555556,1,0.195519348268839,0.195519348268839,NA,-2.77555756156289e-17,0,0,1,2,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,1,0.545553737043099,0.545553737043099,NA,0,0,0,1,10,-1.12158693541666,0.000122551300753504,2.56948833424114,5.0173935717736,0.234630987181751,0.0243137323984082,1.15767121904625,0,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",1,0.0622837370242214,0.0622837370242215,Inf,0,0,0,1,2,2.29159916867494,2.29159916867494,4.04127529922583,5.71522633744856,-0.751469648915633,-0.779349046015712,0.708178098876313,2,0.652173913043478,0.652173913043478,0,0,0,0,NA,2,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",6,0.694132928048598,0.701312390101998,0.14252316123219,0.171660399604856,-0.00823942873547704,0.00891221976356627,0.896576345938784,1,1.85185185185185,1.85185185185185,NA,0,0,0,1,4,-0.206000260534931,0.0326952759483072,0.916879084240304,1.74884486778648,0.256165621969081,0.346097138625337,2.5,5,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",2,0.755065585230574,0.755065585230575,0.433014643140287,0.61237518103514,-0.0896502671411718,-0.0879152487624706,1.3604050378903,1,0.238095238095238,0.238095238095238,NA,0,0,0,1,2,1.58936432984835,1.58936432984835,2.38921659832177,3.37886251679355,0,0,1,0,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Tunisia","Tunisia2013",5,1.11968093674497,1.10316172361888,0.160633763660347,0.0427350427350424,0.00703585426805797,0.0211785944951116,0.767033410435501,3,0.561777542371753,0.563872290178429,0.737693263838232,1.21654903726617,-0.407920600362008,-0.409236905699404,2.22261021847527,NA,NA,NA,NA,NA,NA,NA,NA,2,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Vietnam","Vietnam2009",1,0.25,0.25,NA,0,0,0,1,4,0.926882715647405,0.901926465074994,0.454765385189608,0.599043101900523,0.290885505460016,0.376493051263826,0.436503239193195,NA,NA,NA,NA,NA,NA,NA,NA,2,"2009","East Asia and Pacific","Vietnam","Lower middle income"
