"countryOnly","country","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",6,2.42729566706058,2.37481672331753,1.64972294809768,2.67046041827285,-1.06181950753368,-0.789253594391113,1.01409326203194,1,0.425531914893617,0.425531914893617,Inf,0,0,0,1,2,0.779808331831478,0.779808331831477,1.80182059854301,2.54815912742273,0.589873104749961,0.581986961201487,0.551113845982197,1,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",NA,NA,NA,NA,NA,NA,NA,NA,2,0.0623658873318632,0.0623658873318632,0.0791124366231035,0.111881880824775,0.0265499497614771,0.0254277001874489,0.578857104959735,6,0.642946036258445,0.656900913621563,0.307861449889938,0.514513581397758,0.012801468843676,0.0146063782875506,0.937813165269257,2,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",1,0.55920480430731,0.55920480430731,NA,0,0,0,1,8,0.991378810744717,1.02303623260291,0.588151196714223,0.519168369186396,0.0453261279446753,0.0959222920148314,0.980780827533751,28,1.48414019823535,1.27424625327515,1.05560532665385,1.13756613756614,0.0375235557750055,0.0701760257061825,1,5,"2013","South Asia","Bangladesh","Lower middle income"
"Bhutan","Bhutan2015",2,0.461158905729665,0.461158905729665,0.611203982394687,0.864372961279013,0.126794227188881,0.129094663048164,0.781878941559652,4,0.917442159824031,0.784759259076949,0.643876213515337,1.41177477759849,-0.0109235356447497,-0.00877997617319724,1.24006588127822,3,0.56054769817101,0.525336382019161,0.358995201797379,0.331738530442098,-0.0444179591564752,-0.0622873005642296,1.59399559797462,1,"2015","South Asia","Bhutan","Lower middle income"
"Chile","Chile2010",8,0.487190917860376,0.404965048373947,0.376442297108798,0.441599221860206,-0.0186213244738081,0.00225829552952063,2.2724273175442,4,2.76217420816535,1.98286019228771,2.4565698864614,1.36365329016405,-0.110595003270849,-0.0996054965030585,1.06192204475403,5,0.367329874796137,0.20619632765948,0.393476323112573,0.807444693695172,0.184578590977937,0.173752925420048,0.484652278068085,2,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",58,0.727070188520472,0.694016060089158,0.573779720337812,0.751480320445838,0.0435054775345717,-0.0315932347436585,0.644229396092376,16,0.54352635207519,0.280287697439478,0.523129675959504,0.654538634658665,-0.0745411480427568,-0.0686481948587343,1.5780497225908,48,0.886392323578486,0.775355721621269,0.65480971749363,0.751572327044028,-0.0294355031811195,-0.0278786695862789,1.08873267831551,5,"2012","East Asia and Pacific","China","Upper middle income"
"Costarica","Costarica2010",2,1.54916581782959,1.54916581782959,1.63436623427316,2.31134289439374,-0.958299562541761,-0.829210586406794,2.81040854808297,8,1.54371567850605,1.59022132493114,0.739556493864212,0,-0.0382275298721635,-0.00577640210436504,1.02754657695388,8,0.911776235097736,0.711014656068325,1.02304346433009,1.27455179587591,0.111737951907396,0.0854739829287966,0.777777777777778,1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Croatia","Croatia2013",2,0.502464873219387,0.502464873219387,0.53868118820841,0.761810242159587,0.0182115453964865,0.0197761123811179,0.935531308464288,3,0.928736385135715,0.748596713383336,0.690188130813551,1.30766549704537,-0.0630440305108975,-0.0743251990650563,0.969650735552191,5,1.56737312709171,0.962599590795144,1.5040189810312,2.18534863195058,-0.128154570462375,-0.161453486203492,1.15463903233141,0,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",NA,NA,NA,NA,NA,NA,NA,NA,1,1.04916067146283,1.04916067146283,NA,0,0,0,1,4,1.09517914895795,0.706169509110389,1.09403176070939,1.7548364675445,-0.210751643487843,-0.171050406773219,1.1631028410781,0,"2013","Europe and Central Asia","Czech Republic","High income"
"Dominicanrepublic","Dominicanrepublic2010",1,2.16509150090189,2.16509150090189,NA,0,0,0,1,3,0.640767300439932,0.65992914630625,0.230854776197662,0.335391289838144,0.0446275075627987,0.0233844357778577,1.40736606106134,3,1.11622448842563,1.042686183148,0.837184754663931,1.25084199740845,-0.30412917863471,-0.266859174671778,1.89434583793288,0,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
