"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",1,0.169317118802619,0.169317118802619,NA,0,0,0,1,2,0.00459981281777193,0.00459981281777193,0.00061368464372202,0.000867881146171781,-8.75701527918978e-05,-8.67881146171781e-05,1.21622290217562,2,0.000344411580703179,0.000344411580703179,5.73601546617239e-05,8.11195086624283e-05,0,0,1,0,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",1,0.657894736842105,0.657894736842105,NA,0,0,0,1,1,0.5,0.5,NA,0,0,0,1,3,1.03500608902358,0.919730084795337,0.980795156804997,0.890928414214092,0.600980896216695,0.697144420159144,0.19717793895913,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",14,1.51865905633013,0.84662028728863,1.85897088349296,1.58118051984017,-0.122745307762643,-0.0853869184798272,1.31648203632108,12,4.32321820901534,3.00365907619623,5.60728103827422,6.73502919343954,-1.29658411605968,-0.855402012838243,1.19145498439189,7,9.43914270590494,9.69738603727624,4.7391500225978,5.24087591240877,1.02170550404446,1.38724164628497,1.00791023317556,5,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",3,0.10871944312046,-0.116629149338511,1.10053294336517,1.68255283878989,-0.228633632194298,-0.17222544273824,0.797580134795109,3,0.227388093221587,0.234325890352368,0.237439399563692,0.34279821034516,0.0120320358969897,0.000608209654633755,0.928348963542005,1,1.50375939849624,1.50375939849624,Inf,0,0,0,1,0,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",4,0.388678320617419,0.531618424561691,0.318837527600152,0.531417579735912,0.0803189458185882,0.0903493470011961,0.963693157577129,1,0.375,0.375,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",1,1.14408602150538,1.14408602150538,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,8,0.776327240982151,0.366469234971377,0.897845804481035,0.578033730974907,-0.252581701312025,-0.224754320315258,1.32679451320722,4,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",30,1.22612808572374,0.83926510509912,1.14078189929332,1.67861662217542,0.0258787586974302,-0.0140304985920002,0.958114557118231,12,1.07684758696583,0.82434294634922,1.01009063750451,1.15165631469979,-0.0452469841361444,-0.0886170592519413,NA,26,0.699328482418484,0.633689496731383,0.579465603805436,0.266079420555722,-0.0101182970136429,0.00231105793825748,0.967635523914052,4,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",4,1.22065258533332,0.724293270727736,1.20266907364817,2.01222596278006,0.123164887089128,0.0683997092925966,0.851820024423508,5,0.371934881973919,0.217586468637405,0.459707578110104,0.575029348506466,0.0834045828638858,0.0451336678694796,0.762523755206487,4,3.00241330613004,3.18618893748323,2.22760844982993,3.13912902279239,-0.0780696592723863,0.310107860567315,1.20271428583908,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",24,1.88146509232955,1.81616166415601,1.40533033012003,0.810769233112529,-0.0961598855007565,-0.0933628492221665,1.59285171317653,14,1.5159413908257,1.63438148478362,1.03531749121208,1.52285381043551,-0.140746195364871,-0.0913305383481419,0.956305546433532,20,1.84712693743641,1.09830511048804,1.94051668438381,3.11047474005028,-0.412469358368525,-0.064568035821433,2.10732901137019,1,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",7,1.84725903841739,1.04166666666667,2.36798702384779,3.03503777453965,-0.0660232619200509,-0.0660232619200509,1,4,1.99746988101572,0.578157696382545,3.17940400230167,1.77228799011221,0.299958169955253,0.299958169955253,0.9,NA,NA,NA,NA,NA,NA,NA,NA,1,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Ghana","Ghana2013",4,0.431256819427562,0.435187896832724,0.248935601059466,0.286303899207125,-0.0299575856693531,-0.0350993397108749,1,3,1.2480933100426,1.0183299389002,1.03219572751302,2.02566987918277,-0.16422332939228,-0.16422332939228,1.6,1,0.443037974683544,0.443037974683544,NA,0,0,0,1,0,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",1,0.752212389380531,0.752212389380531,NA,0,0,0,1,5,0.313799857409968,0.309898584329048,0.121114866285692,0.143651529193698,-0.00619386692202474,-0.0163511533255007,1.04264948495573,2,4.38711694233819,4.38711694233819,3.90095913075299,5.51678930897403,2.84590352743804,2.30287994090201,NA,1,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",220,1.97122968503368,1.59623910039885,1.51163584268932,1.44471811713191,0.153638100737808,0.0831999680386072,0.732475418095831,123,1.72342481179884,1.70958435226429,1.05774982539083,1.30255906847194,-0.00727188853734475,-0.0339679193484818,0.8,134,2.48109688229088,1.96311977924682,1.63968526380764,1.51246694175743,-0.0289225850464935,0.0470888415024668,1.97245170997806,42,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",2,0.986861925715463,0.986861925715463,3.40869197905462,4.82061842673142,-1.4337411104251,-1.49830032182193,0.641688479106309,4,0.821199263751989,0.822837356238203,0.770368548086794,1.45327145327145,-0.0464800133115072,-0.0507112714691205,NA,2,2.21786305737147,2.21786305737147,0.175643350708373,0.248397208712436,0.0314836505439169,0.0321996381664268,0.727730273918109,0,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",2,0.113919564458728,0.113919564458728,0.176205430931397,0.249192110186978,0.0194554737204033,0.0193472135238337,0.852092290545685,NA,NA,NA,NA,NA,NA,NA,NA,5,0.161439251072993,0.0889971981412031,0.180245556888258,0.256061432663913,-0.0196190217971912,-0.0225223337732669,1.52047379699592,0,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",1,0.671831393540925,0.671831393540925,NA,0,0,0,1,1,2,2,NA,0,0,0,1,4,3.44045365053403,3.33960906221923,2.90284808353159,4.18179695253663,-1.83219818672463,-0.436509850937472,27.6343770957138,6,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",1,1.66666666666667,1.66666666666667,NA,-2.22044604925031e-16,0,0,1,1,0.384615384615385,0.384615384615385,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,9,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nepal","Nepal2013",4,1.08771561000466,1.07377933141535,0.389223352642352,0.467032967032967,-0.0122403537520496,-0.0307315854381455,1,1,1.29032258064516,1.29032258064516,NA,0,0,0,1,11,0.62695635572067,0.450000380721327,0.452798402902255,0.693432686426069,-0.124614586834914,-0.122842951592283,1.2163156780731,3,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",1,6.81819266530651e-07,6.81819266530651e-07,NA,0,0,0,1,6,0.165421659919746,0.0977233102156422,0.177390878461317,0.357117853704884,-0.0218686043761335,-0.0199782968561179,1,4,0.152652719881028,0.291594997964922,0.819564082356678,1.8813723524145,0.0572566025669656,0.049569627244192,1.07352360256351,1,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",2,0.611239075620216,0.611239075620216,0.680127551735774,0.961845607808341,0.233055801244609,0.247748111102148,0.694418060878514,5,1.1677727601459,0.103370263447943,2.2637336536114,4.05244122965642,0.118221916433968,0.204225612723472,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",2,0.965973729994203,0.965973729994203,0.404146031594037,0.571548799059553,-0.0871337836707011,-0.0869748172481928,1.43482373974716,1,0.855614973262032,0.855614973262032,NA,0,0,0,1,8,2.01780396834287,2.03304536350956,0.897578325146061,1.74544411711031,0.313792388818067,0.0964530514820795,1.58261623959459,0,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",1,3.86350876992326,3.86350876992326,NA,0,0,0,1,1,0.307692307692308,0.307692307692308,NA,0,0,0,1,1,0.263357491993932,0.263357491993932,NA,0,0,0,1,3,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Trinidadandtobago","Trinidadandtobago2010",2,0.79002079002079,0.79002079002079,0.029401529363266,0.0415800415800416,0.00772200772200772,0.00772200772200772,0.729166666666667,2,0.734865424430642,0.734865424430642,0.0587352465035286,0.0830641821946171,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"2010","Latin America and Caribbean","Trinidad and Tobago","High income"
"Tunisia","Tunisia2013",3,1.37625342728459,1.13296944422521,1.90775868532006,1.49974520794951,0.491738957309034,0.792888180407289,0.4,2,0.0947381603095778,0.0947381603095778,0.0257241864968167,0.036379493424813,-0.000988898040651391,-0.00113685916952541,1.0407355176936,4,0.559729809718771,0.460161466179539,0.781652470916953,0.67857492301235,0.246791396758498,0.234643875937502,0.342857142857143,2,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Vietnam","Vietnam2009",14,3.1742843481369,2.3489892412959,3.01460262029984,2.26627443537673,-0.0230474509324745,-0.33632305181731,0.720927879670883,1,-1.19121150622077,-1.19121150622077,NA,0,0,0,1,5,3.62291043916714,2.333329394221,4.470304942647,3.94249741614206,-0.162298161072704,-0.555251393427487,0.908851935197928,2,"2009","East Asia and Pacific","Vietnam","Lower middle income"
"Zambia","Zambia2013",2,0.238465189001159,0.238465189001159,0.00214137296300008,0.00302835868637377,6.65950360962651e-05,6.77990750680695e-05,0.96198890134018,1,0.759493670886076,0.759493670886076,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"2013","Sub-Saharan Africa","Zambia","Lower middle income"
