"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",1,2.55175915328991,2.55175915328991,NA,0,0,0,1,1,1.00487507617307,1.00487507617307,NA,0,0,0,1,1,0.872093023255814,0.872093023255814,NA,0,0,0,1,5,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",1,0.588235294117647,0.588235294117647,NA,0,0,0,1,2,1.2720024468553,1.2720024468553,1.13368736562552,1.60327604795864,0.0477816725576013,0.0616644633830246,0.960401127771361,9,3.62621886034093,2.66323806052932,2.07813742483877,2.79571361871249,0.577221978255196,0.814119062890971,0.676523130557539,0,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",1,0.494722955145119,0.494722955145119,NA,0,0,0,1,5,0.463004933391266,0.450469338439683,0.13471967123804,0,0.00229693490735577,-0.0215287253224986,0.96263475526929,2,0.205297225823029,0.205297225823029,0.199316508106923,0.281876108969658,0.0377431453875865,0.0559753975258895,0.844312996073177,3,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",1,1.63934426229508,1.63934426229508,NA,0,0,0,1,1,9.17316848424975,9.17316848424975,NA,0,0,0,1,2,1.26459941753356,1.26459941753356,0.0504130492467412,0.0712948179653241,0.00513564366699369,0.00513564366699369,0.874074074074074,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",10,1.06360767626445,0.731131605653413,0.914022427026632,1.5062656641604,0.0454926340175354,0.10307428941788,1,28,0.682699555406875,0.513293608872795,0.562144167688083,0.711510441962118,0.0101183652728137,0.0106365063686292,0.992034092201424,50,0.904479586369458,0.657570535765446,0.865233047171163,0.83552394206484,-0.455486324534289,-0.408280884085323,1.22766219359033,4,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",1,0.421153961855484,0.421153961855484,NA,-1.11022302462516e-16,0,0,1,14,0.446893123176486,0.26457302576315,0.753617219981291,0.761012510577956,0.107182371212561,-0.0372881626398845,0.665148375756246,1,2.5,2.5,NA,0,0,0,1,18,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",75,1.59055852648492,1.53779872855845,1.37059014110917,1.63757199822774,0.0882372941345907,0.0471616906652879,0.788689019324737,175,1.79716620515461,1.48866611215352,1.36736451952713,1.47326121977469,0.190934582706173,0.0779212319143812,0.603817551572376,133,1.77134904761291,1.29881080694581,1.46555271212452,1.61182666511641,0.116101731559946,0.0753714224362754,1.04820349177171,12,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",1,2.06953642384106,2.06953642384106,NA,0,0,0,1,3,1.95115467653616,1.88719751176614,1.34229697814438,1.81152993348115,-0.0965659070146681,-0.0944376626109146,1.09401752798724,1,1.86046511627907,1.86046511627907,NA,0,0,0,1,0,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",5,0.287912750365895,0.0403368802429567,0.728110819207165,0.00743854352380828,0.137451778169235,0.0945489793296253,0.558540961197424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Kenya","Kenya2013",1,0.182926829268293,0.182926829268293,NA,0,0,0,1,1,0.0738041002277904,0.0738041002277904,NA,0,0,0,1,3,0.0469121115677916,0.0667286496210751,0.0396228423099397,0.0715215316797142,0.00620033270507405,0.00626237347699108,1.00157557751935,2,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",6,1.41750405260711,0.763031316469556,1.39861967430214,2.95080705170317,0.546487848466622,0.383212326321394,0.5,5,0.901664908675444,0.827635033236055,0.716343288962295,1.59937297937843,-0.158891937180741,-0.111141162127129,1.87307301194111,1,2.37933378653977,2.37933378653977,NA,0,0,0,1,6,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",2,2.19524472720642,2.19524472720642,2.25412916669715,3.18782003888387,0.265711786768691,0.265651669906989,0.833523477854913,5,0.842721155438826,0.696358276532751,0.8048883475113,0.828347612437978,-0.0741954781100296,-0.0795184529475167,0.999654987196299,1,5.33333333333333,5.33333333333333,NA,0,0,0,1,0,"2013","South Asia","Nepal","Low income"
