"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",2,2.12387429915221,2.12387429915221,4.9297774561654,6.97175813799025,1.46321147126374,1.50963266767505,0.551728901744857,1,2.19437223513122,2.19437223513122,NA,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",3,3.35209551544739,0.265551639386104,5.29332409829531,9.0562146629946,0.853955998802628,0.874369531791276,NA,3,20.1574861901568,18.1002883978699,20.6176870714021,30.8806847946396,-1.41669992851075,0.179356581174105,1.1074368017112,3,12,0.233454045823701,0.190118775616741,0.171859039757586,0.0956944655924476,-0.0122653259689053,-0.0313474820374399,0.988909234032821,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",40,0.682541359155337,0.591004197305411,0.454141373599118,0.716600950587863,0.0240897908751283,0.00641215718648085,0.525320401582925,1,0.401146131805158,0.401146131805158,NA,0,0,0,1,38,1,0.746268656716418,0.746268656716418,Inf,0,1.94116810904865e-32,0,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",40,0.828799304255768,0.434782608695652,0.760698445683737,0.844474153297681,0.0546973874029086,-0.0172541308877964,0.666417177930261,49,1.44872527984309,1.04859189277273,1.44606193799635,1.78283198826119,0.010157609430451,0.0333131546575006,0.880536218052178,3,8,1.5443429253896,1.59269142830335,1.04913906216065,1.82623698678208,0.131220425076953,0.0926825059384131,0.989815823006304,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",2,1.66309004415889,1.66309004415889,1.35602501206216,1.91770896297545,-0.431068904778062,-0.41093763492331,1.6108341177161,1,1.05263157894737,1.05263157894737,NA,0,0,0,1,1,1,1.15163147792706,1.15163147792706,NA,0,0,0,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",1,5.12820512820513,5.12820512820513,NA,0,0,0,1,3,1.67873866770815,1.55020631488558,0.618621743414947,1.28911205073996,0.0231917377630099,0.0216261152953659,1.01028571128845,2,3,1.46064483876374,1.4204933873312,0.674452627291583,0.93077524419465,-0.0467876184737789,-0.0403657884871818,1.13333333333333,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",214,1.64601476232808,1.500284127007,1.28053305157593,1.11522911051213,0.109062887725061,0.0614090358341329,1,114,2.05682942844912,2.07067613496875,1.13546692957855,1.14803049555273,0.121412692903198,0.0642036801101346,1.39503098710884,19,73,1.06829346738376,0.906380072920281,0.650890859509572,0.756527993495463,0.00452624481961767,0.0131852048508628,0.8,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,5,1.33848504161363,1.31801567597659,1.2932278176315,1.78072541708905,-0.321519404176591,-0.333759165311508,0.560319866722545,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",3,0.604501382170049,0.58297714112603,0.164354050653077,0.122739456168768,0.00710467091926729,0.00947542934912291,0.853829815418813,3,0.0643681349929851,0.0617312211028903,0.0129295830461127,0.00862897494463177,-0.00335076877076766,-0.00382372715728881,2.25620971490637,3,3,1.52298213538984,1.69958253588774,1.67883539301334,3.12026363562174,0.266857355836883,0.24685113237178,0.697283398776586,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Peru","Peru2010",1,0.982632831728174,0.982632831728174,Inf,0,0,0,1,1,0.438917337234821,0.438917337234821,Inf,0,0,0,1,1,2,2.3135062866204,2.3135062866204,2.08277770588839,2.94549247907568,0.133886021776167,0.133886021776167,0.916666666666667,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",5,-2.38310020489552,-1.63465699363013,2.90098621672545,4.31126397248495,0.549635482657466,0.348656763666244,1.19604402753042,1,2.58876919099572,2.58876919099572,NA,0,0,0,1,2,3,3.31442727003249,0.709590976788136,6.35374670539626,3.43723716812334,-0.290329126120323,0.186223368030791,1.15533555884123,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",2,1.69792650198186,1.69792650198186,1.63909430608606,2.31802939767542,0.553518553185763,0.555361209859735,0.678275100879154,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1.7715796198771,0.354054855895413,2.85540226449499,5.16818724883241,-0.175319318311305,-0.298026385236927,0.971074906679804,"2012","Europe and Central Asia","Russian Federation","High income"
