"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","outliersOut","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",6,1.80562470737987,0.981501868283288,1.92753508041507,4.07370201966797,-0.384857423733439,-0.350832965490783,1.40776765554716,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",6,0.0735395965235761,0.0645589469324295,0.0732815484502815,0.106800091783495,-0.0179126193909961,-0.0163083957902045,0.860690900809174,-6,6,0.0735395965235761,0.0645589469324295,0.0732815484502815,0.106800091783495,-0.0179126193909961,-0.0163083957902045,0.860690900809174,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",8,1.07556324311476,1.00833143830414,0.432601683006024,0.521523178807947,0.0308387494559807,0.0284494674030966,0.859434685965353,-8,NA,NA,NA,NA,NA,NA,NA,NA,8,1.07556324311476,1.00833143830414,0.432601683006024,0.521523178807947,0.0308387494559807,0.0284494674030966,0.859434685965353,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Bangladesh","Bangladesh2013",75,0.917108950714842,0.689695472472582,0.90437968403363,0.872131147540984,0.185952112377992,0.0234164097947172,0.119440467816864,-139,75,0.917108950714842,0.689695472472582,0.90437968403363,0.872131147540984,0.185952112377992,0.0234164097947172,0.119440467816864,75,0.917108950714842,0.689695472472582,0.90437968403363,0.872131147540984,0.185952112377992,0.0234164097947172,0.119440467816864,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",12,1.09838808060946,0.827126572505563,0.767928992326545,1.08174649633277,0.0597565152752911,0.0413884287550663,0.881907791761391,-12,NA,NA,NA,NA,NA,NA,NA,NA,12,1.09838808060946,0.827126572505563,0.767928992326545,1.08174649633277,0.0597565152752911,0.0413884287550663,0.881907791761391,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",9,0.436954857623303,0.431196459302636,0.25850352375541,0.210121874988593,0.229442353905498,0.231985747170945,0.0240336516580815,-17,9,0.436954857623303,0.431196459302636,0.25850352375541,0.210121874988593,0.229442353905498,0.231985747170945,0.0240336516580815,9,0.436954857623303,0.431196459302636,0.25850352375541,0.210121874988593,0.229442353905498,0.231985747170945,0.0240336516580815,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",6,0.876224722036735,0.794912939633004,0.674221430351163,0.975300999448698,-0.283085712791335,-0.279260765004551,6.98172352154522,-12,6,0.876224722036735,0.794912939633004,0.674221430351163,0.975300999448698,-0.283085712791335,-0.279260765004551,6.98172352154522,6,0.876224722036735,0.794912939633004,0.674221430351163,0.975300999448698,-0.283085712791335,-0.279260765004551,6.98172352154522,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",6,0.524688204118921,0.386239694607555,0.529334792931651,0.328395191902151,0.170878120489963,0.250925157243382,1.06244641859785,-12,6,0.524688204118921,0.386239694607555,0.529334792931651,0.328395191902151,0.170878120489963,0.250925157243382,1.06244641859785,6,0.524688204118921,0.386239694607555,0.529334792931651,0.328395191902151,0.170878120489963,0.250925157243382,1.06244641859785,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",135,0.646399662919617,0.61883086935982,0.473894354082023,0.558167708571375,0.146984136074,0.110788074560699,0.915661067320674,-261,135,0.646399662919617,0.61883086935982,0.473894354082023,0.558167708571375,0.146984136074,0.110788074560699,0.915661067320674,135,0.646399662919617,0.61883086935982,0.473894354082023,0.558167708571375,0.146984136074,0.110788074560699,0.915661067320674,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",6,1.18657887902488,1.26572051767536,0.769348751141962,1.37535014005602,0.253246227072646,0.323513296799834,0.70290103539067,-6,NA,NA,NA,NA,NA,NA,NA,NA,6,1.18657887902488,1.26572051767536,0.769348751141962,1.37535014005602,0.253246227072646,0.323513296799834,0.70290103539067,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"China","China2012",13,0.446276764154136,0.351492966760128,0.409019654088653,0.254924510497759,0.807584811866121,0.922791603945199,0.0916170119627273,-25,13,0.446276764154136,0.351492966760128,0.409019654088653,0.254924510497759,0.807584811866121,0.922791603945199,0.0916170119627273,13,0.446276764154136,0.351492966760128,0.409019654088653,0.254924510497759,0.807584811866121,0.922791603945199,0.0916170119627273,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",3,1.76693999002974,1.79077786983241,1.11901661656439,1.34810580955044,-0.493548796340568,-0.283522768510237,2.17166124926517,-1,3,1.76693999002974,1.79077786983241,1.11901661656439,1.34810580955044,-0.493548796340568,-0.283522768510237,2.17166124926517,3,1.76693999002974,1.79077786983241,1.11901661656439,1.34810580955044,-0.493548796340568,-0.283522768510237,2.17166124926517,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",9,0.469592857278474,0.377565684716796,0.65500921053925,0.469301481384044,0.169743842051139,0.137308380389587,2.93973328777145,-17,9,0.469592857278474,0.377565684716796,0.65500921053925,0.469301481384044,0.169743842051139,0.137308380389587,2.93973328777145,9,0.469592857278474,0.377565684716796,0.65500921053925,0.469301481384044,0.169743842051139,0.137308380389587,2.93973328777145,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Drc","Drc2013",44,0.310154474214909,0.253951632517005,0.299619159521205,0.362144762129698,0.0328004521270725,0.0230786958210404,0.895284737561833,-87,44,0.310154474214909,0.253951632517005,0.299619159521205,0.362144762129698,0.0328004521270725,0.0230786958210404,0.895284737561833,44,0.310154474214909,0.253951632517005,0.299619159521205,0.362144762129698,0.0328004521270725,0.0230786958210404,0.895284737561833,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",96,0.860706033535568,0.607286595955444,0.791459540694626,0.889361773994693,-0.149282488620361,0.0366299682749407,1.04479976118034,-186,96,0.860706033535568,0.607286595955444,0.791459540694626,0.889361773994693,-0.149282488620361,0.0366299682749407,1.04479976118034,96,0.860706033535568,0.607286595955444,0.791459540694626,0.889361773994693,-0.149282488620361,0.0366299682749407,1.04479976118034,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Estonia","Estonia2013",4,0.636812373678057,0.77274567930127,0.454957841184962,0.747894955532461,0.108509185801145,0.145155801381345,0.205882352941176,-3,NA,NA,NA,NA,NA,NA,NA,NA,4,0.636812373678057,0.77274567930127,0.454957841184962,0.747894955532461,0.108509185801145,0.145155801381345,0.205882352941176,"2013","Europe and Central Asia","Estonia","High income"
"Ghana","Ghana2013",17,0.798509150216549,0.369527051935576,0.950988198688371,1.69262859767299,-0.349508587071946,-0.382092090459769,1.62673392847809,-17,NA,NA,NA,NA,NA,NA,NA,NA,17,0.798509150216549,0.369527051935576,0.950988198688371,1.69262859767299,-0.349508587071946,-0.382092090459769,1.62673392847809,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",6,0.176359396684757,0.511572943070848,0.938865383691121,2.02265341495756,-0.259070939463365,-0.216313261079737,0.567847748842193,-8,6,0.176359396684757,0.511572943070848,0.938865383691121,2.02265341495756,-0.259070939463365,-0.216313261079737,0.567847748842193,6,0.176359396684757,0.511572943070848,0.938865383691121,2.02265341495756,-0.259070939463365,-0.216313261079737,0.567847748842193,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",4,0.137151176935521,0.092412792125638,0.627715374676291,0,-0.0198580438849751,0.027687278282559,5.59778404214484,-3,NA,NA,NA,NA,NA,NA,NA,NA,4,0.137151176935521,0.092412792125638,0.627715374676291,0,-0.0198580438849751,0.027687278282559,5.59778404214484,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",65,1.62491743141942,1.62726525011609,0.768651351919069,0.777647103456125,0.017129124273029,0.118248578801175,0.983524410969817,-129,65,1.62491743141942,1.62726525011609,0.768651351919069,0.777647103456125,0.017129124273029,0.118248578801175,0.983524410969817,65,1.62491743141942,1.62726525011609,0.768651351919069,0.777647103456125,0.017129124273029,0.118248578801175,0.983524410969817,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",16,0.358506900617135,0.268471055188726,0.42779327065951,0.346096385542169,-0.649965349475471,-0.496051224100143,0.193131052317675,-30,16,0.358506900617135,0.268471055188726,0.42779327065951,0.346096385542169,-0.649965349475471,-0.496051224100143,0.193131052317675,16,0.358506900617135,0.268471055188726,0.42779327065951,0.346096385542169,-0.649965349475471,-0.496051224100143,0.193131052317675,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",20,0.413146797548197,0.371585001411085,0.232535579154798,0.21060079194388,-0.0320414050776897,-0.0313922049153276,1.16063258371674,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",3,0.346690430673765,0.257532838488422,0.380178001852202,0.641438016108089,-0.159323801096492,-0.14770048628018,2.16382019985754,-1,NA,NA,NA,NA,NA,NA,NA,NA,3,0.346690430673765,0.257532838488422,0.380178001852202,0.641438016108089,-0.159323801096492,-0.14770048628018,2.16382019985754,"2013","Middle East and North Africa","Israel","High income"
