"countryOnly","country","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",4,9715.96109108616,9318.43240902914,4969.28637752682,7042.02837990583,1403.96745332451,-10791.2805456564,0.875166136523156,4,9715.96109108616,9318.43240902914,4969.28637752682,7042.02837990583,1403.96745332451,-10791.2805456564,0.875166136523156,4,9715.96109108616,9318.43240902914,4969.28637752682,7042.02837990583,1403.96745332451,-10791.2805456564,0.875166136523156,27,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",NA,NA,NA,NA,NA,NA,NA,NA,8,382475.706009155,3110.07805523614,823879.507489245,53455.7498123667,149494.020602285,58445.0458876337,1.06705403653738,8,382475.706009155,3110.07805523614,823879.507489245,53455.7498123667,149494.020602285,58445.0458876337,1.06705403653738,12,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",19,1488156.08638699,28002.1270827258,3704728.38400755,196074.71119028,263606.787314899,136640.081825334,0.435509848986611,19,1488156.08638699,28002.1270827258,3704728.38400755,196074.71119028,263606.787314899,136640.081825334,0.435509848986611,19,1488156.08638699,28002.1270827258,3704728.38400755,196074.71119028,263606.787314899,136640.081825334,0.435509848986611,-27,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",NA,NA,NA,NA,NA,NA,NA,NA,10,22794.7557990918,14900.7658364006,23484.287831454,18203.7037037037,22810.2915506821,23416.1734657075,0.990756309123777,10,22794.7557990918,14900.7658364006,23484.287831454,18203.7037037037,22810.2915506821,23416.1734657075,0.990756309123777,-10,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",114,41273.8313221898,21467.0497358029,64788.0806858249,23270.6976206859,7812.01209346814,13179.0711534104,2.01338765322891,114,41273.8313221898,21467.0497358029,64788.0806858249,23270.6976206859,7812.01209346814,13179.0711534104,2.01338765322891,114,41273.8313221898,21467.0497358029,64788.0806858249,23270.6976206859,7812.01209346814,13179.0711534104,2.01338765322891,-168,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",11,7182.13092668746,2241.18012610339,11158.9310097377,4620.04234461525,-2761.28204794146,-889.096423458651,0.39397815974665,11,7182.13092668746,2241.18012610339,11158.9310097377,4620.04234461525,-2761.28204794146,-889.096423458651,0.39397815974665,11,7182.13092668746,2241.18012610339,11158.9310097377,4620.04234461525,-2761.28204794146,-889.096423458651,0.39397815974665,-10,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",13,6436.06551161999,5695.9285780632,3462.55186031119,3618.714848228,1295.16294388988,1406.73482615143,0.865300905989418,13,6436.06551161999,5695.9285780632,3462.55186031119,3618.714848228,1295.16294388988,1406.73482615143,0.865300905989418,13,6436.06551161999,5695.9285780632,3462.55186031119,3618.714848228,1295.16294388988,1406.73482615143,0.865300905989418,6,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",NA,NA,NA,NA,NA,NA,NA,NA,15,19117.6533527818,17121.4285714286,12527.056249684,7166.66666666667,3958.04345211285,5622.12341235157,0.571428571428571,15,19117.6533527818,17121.4285714286,12527.056249684,7166.66666666667,3958.04345211285,5622.12341235157,0.571428571428571,-10,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",144,3565.68313125109,1926.67532261075,5286.23213094031,2628.78025975046,2112.64839842862,1646.30916988031,1.10225744541762,144,3565.68313125109,1926.67532261075,5286.23213094031,2628.78025975046,2112.64839842862,1646.30916988031,1.10225744541762,144,3565.68313125109,1926.67532261075,5286.23213094031,2628.78025975046,2112.64839842862,1646.30916988031,1.10225744541762,-266,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",11,21125.9482369095,18255.0279816843,23866.6880928035,14260.7166666667,3486.22670581244,1291.71508219449,0.320317290807451,11,21125.9482369095,18255.0279816843,23866.6880928035,14260.7166666667,3486.22670581244,1291.71508219449,0.320317290807451,11,21125.9482369095,18255.0279816843,23866.6880928035,14260.7166666667,3486.22670581244,1291.71508219449,0.320317290807451,-14,"2010","Latin America and Caribbean","Barbados","High income"
"Belize","Belize2010",24,22017.7366548578,21625,9825.27244119856,16193.3333333333,10940.533900742,12277.9313153416,2.17952796601872,24,22017.7366548578,21625,9825.27244119856,16193.3333333333,10940.533900742,12277.9313153416,2.17952796601872,24,22017.7366548578,21625,9825.27244119856,16193.3333333333,10940.533900742,12277.9313153416,2.17952796601872,-46,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",NA,NA,NA,NA,NA,NA,NA,NA,6,9400.94851675042,1848.98058618862,19848.517360184,1111.97916782688,12266.3834099615,8356.07266727878,1.81809635330557,6,9400.94851675042,1848.98058618862,19848.517360184,1111.97916782688,12266.3834099615,8356.07266727878,1.81809635330557,-4,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",6,11434.2542013741,6539.43693738298,11141.7544508157,14989.1514457847,3003.8301912833,6182.22898773395,3.5098220039397,6,11434.2542013741,6539.43693738298,11141.7544508157,14989.1514457847,3003.8301912833,6182.22898773395,3.5098220039397,6,11434.2542013741,6539.43693738298,11141.7544508157,14989.1514457847,3003.8301912833,6182.22898773395,3.5098220039397,-4,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",9,7071.23098590726,3558.94905233924,13371.4369882172,0,1700.12367441182,3395.55891641936,0.944347715100071,9,7071.23098590726,3558.94905233924,13371.4369882172,0,1700.12367441182,3395.55891641936,0.944347715100071,9,7071.23098590726,3558.94905233924,13371.4369882172,0,1700.12367441182,3395.55891641936,0.944347715100071,23,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",7,31445.3242494481,15812.8962014545,49292.3838489836,13593.9615419435,31556.0484695083,32772.4675467101,1.96953848549176,7,31445.3242494481,15812.8962014545,49292.3838489836,13593.9615419435,31556.0484695083,32772.4675467101,1.96953848549176,7,31445.3242494481,15812.8962014545,49292.3838489836,13593.9615419435,31556.0484695083,32772.4675467101,1.96953848549176,-12,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",128,21799.5432373662,11833.5004465554,28640.5914012938,18819.0709088514,11873.7584255506,8324.74300800203,1.12264933846175,128,21799.5432373662,11833.5004465554,28640.5914012938,18819.0709088514,11873.7584255506,8324.74300800203,1.12264933846175,128,21799.5432373662,11833.5004465554,28640.5914012938,18819.0709088514,11873.7584255506,8324.74300800203,1.12264933846175,-218,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",5,71254.936567158,26675.8492873973,85563.9594700755,155042.973948908,-45791.5990356956,-25425.8716342472,1.44670368467965,5,71254.936567158,26675.8492873973,85563.9594700755,155042.973948908,-45791.5990356956,-25425.8716342472,1.44670368467965,5,71254.936567158,26675.8492873973,85563.9594700755,155042.973948908,-45791.5990356956,-25425.8716342472,1.44670368467965,-3,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
