"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",9,14141.3293632956,14884.6129047853,14075.9291258898,6160.87380879437,9888.13906282556,9443.44548260185,0.764202788814372,9,14141.3293632956,14884.6129047853,14075.9291258898,6160.87380879437,9888.13906282556,9443.44548260185,0.764202788814372,9,14141.3293632956,14884.6129047853,14075.9291258898,6160.87380879437,9888.13906282556,9443.44548260185,0.764202788814372,-14,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",98,8005.18227712494,3613.87382549797,13301.0036228906,5729.88922596567,26.2361266854404,-1406.32061288472,1.12891518824153,98,8005.18227712494,3613.87382549797,13301.0036228906,5729.88922596567,26.2361266854404,-1406.32061288472,1.12891518824153,98,8005.18227712494,3613.87382549797,13301.0036228906,5729.88922596567,26.2361266854404,-1406.32061288472,1.12891518824153,-181,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",117,12939.4920925929,8564.13354464327,14900.1928249893,11144.6654883953,9551.60372461241,5869.37659594628,1.72833634542316,117,12939.4920925929,8564.13354464327,14900.1928249893,11144.6654883953,9551.60372461241,5869.37659594628,1.72833634542316,117,12939.4920925929,8564.13354464327,14900.1928249893,11144.6654883953,9551.60372461241,5869.37659594628,1.72833634542316,-220,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",6,19703.1111790289,12963.3324944981,16682.6697920109,31631.7650406165,17212.3171056266,13459.3250298441,NA,6,19703.1111790289,12963.3324944981,16682.6697920109,31631.7650406165,17212.3171056266,13459.3250298441,NA,6,19703.1111790289,12963.3324944981,16682.6697920109,31631.7650406165,17212.3171056266,13459.3250298441,NA,-7,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",15,13582.2266322113,10106.2338835628,7314.70739813922,13162.1731347456,-44.4322363755807,274.25841485083,2.62571100335954,15,13582.2266322113,10106.2338835628,7314.70739813922,13162.1731347456,-44.4322363755807,274.25841485083,2.62571100335954,15,13582.2266322113,10106.2338835628,7314.70739813922,13162.1731347456,-44.4322363755807,274.25841485083,2.62571100335954,-26,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",3,19046.1776397709,19271.4356107922,4564.98911985757,6709.70446053017,716.320145660373,864.24996439571,0.762355354037496,3,19046.1776397709,19271.4356107922,4564.98911985757,6709.70446053017,716.320145660373,864.24996439571,0.762355354037496,3,19046.1776397709,19271.4356107922,4564.98911985757,6709.70446053017,716.320145660373,864.24996439571,0.762355354037496,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Cotedivoire","Cotedivoire2009",9,2293.0101308136,1715.55146388074,2455.04178820379,1463.0282079528,106.816965969872,-24.5503627975549,3.07712992737886,NA,NA,NA,NA,NA,NA,NA,NA,9,2293.0101308136,1715.55146388074,2455.04178820379,1463.0282079528,106.816965969872,-24.5503627975549,3.07712992737886,-6,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",79,4969.66114622516,2581.54058475213,7160.18722236877,6374.23511958869,2722.45108763549,4311.70972432514,1.1,79,4969.66114622516,2581.54058475213,7160.18722236877,6374.23511958869,2722.45108763549,4311.70972432514,1.1,79,4969.66114622516,2581.54058475213,7160.18722236877,6374.23511958869,2722.45108763549,4311.70972432514,1.1,-126,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",13,54690.9368753012,2976.07750814217,193300.17026398,9940.36019258401,-59986.2525223424,-61052.6373341311,0.0361103448275862,13,54690.9368753012,2976.07750814217,193300.17026398,9940.36019258401,-59986.2525223424,-61052.6373341311,0.0361103448275862,13,54690.9368753012,2976.07750814217,193300.17026398,9940.36019258401,-59986.2525223424,-61052.6373341311,0.0361103448275862,-12,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",8,11658.6688950978,5244.02624764769,11907.2600007737,23387.7045085984,-7116.90010481207,-3002.11085478937,0.363595603978075,8,11658.6688950978,5244.02624764769,11907.2600007737,23387.7045085984,-7116.90010481207,-3002.11085478937,0.363595603978075,8,11658.6688950978,5244.02624764769,11907.2600007737,23387.7045085984,-7116.90010481207,-3002.11085478937,0.363595603978075,-15,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Guatemala","Guatemala2010",5,7258.28716331473,4539.06173594106,7122.20948170303,5714.59698781885,11650.9300739723,10650.6045765979,1.88180163255641,5,7258.28716331473,4539.06173594106,7122.20948170303,5714.59698781885,11650.9300739723,10650.6045765979,1.88180163255641,5,7258.28716331473,4539.06173594106,7122.20948170303,5714.59698781885,11650.9300739723,10650.6045765979,1.88180163255641,-8,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",72,14048.233056472,7652.40907562978,15918.6340953816,14242.1459120998,-3343.21001223308,-2727.77688017429,0.868279652472653,72,14048.233056472,7652.40907562978,15918.6340953816,14242.1459120998,-3343.21001223308,-2727.77688017429,0.868279652472653,72,14048.233056472,7652.40907562978,15918.6340953816,14242.1459120998,-3343.21001223308,-2727.77688017429,0.868279652472653,-115,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",9,2564.51671980155,1409.83240577888,5214.79980940384,1226.21396717682,2945.30709484706,2597.82804439931,1.04029539831413,NA,NA,NA,NA,NA,NA,NA,NA,9,2564.51671980155,1409.83240577888,5214.79980940384,1226.21396717682,2945.30709484706,2597.82804439931,1.04029539831413,-4,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",3,48044.5134908638,42417.4826141533,93154.4774535747,96069.7444747396,-8560.31492854104,-10051.9840526481,0.905981517986138,3,48044.5134908638,42417.4826141533,93154.4774535747,96069.7444747396,-8560.31492854104,-10051.9840526481,0.905981517986138,NA,NA,NA,NA,NA,NA,NA,NA,2,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",3,100161.166140624,64649.4538393884,119844.461827276,203511.235330239,-69569.8742345946,-55501.3121903121,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,100161.166140624,64649.4538393884,119844.461827276,203511.235330239,-69569.8742345946,-55501.3121903121,NA,1,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",16,6947.27195010843,6036.50504150325,2914.45453324556,2789.23871856112,4788.03297131327,3374.91495779831,0.266741663650059,16,6947.27195010843,6036.50504150325,2914.45453324556,2789.23871856112,4788.03297131327,3374.91495779831,0.266741663650059,16,6947.27195010843,6036.50504150325,2914.45453324556,2789.23871856112,4788.03297131327,3374.91495779831,0.266741663650059,-19,"2010","Latin America and Caribbean","Mexico","Upper middle income"
