"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",5,3517919.17082453,2520356.24168801,4464666.59774672,4006095.98524273,-94363.5025832331,-94363.5025832332,1.91666666666667,1,700.886822461126,700.886822461126,NA,0,0,0,1,1,865662.988530664,865662.988530664,NA,0,0,0,1,2,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Bangladesh","Bangladesh2013",12,7280.40172704914,2277.55004199221,8064.33096499401,10651.593062796,-1600.04179132279,-930.725947347231,1.02393015059318,6,4685.52512996844,3582.05869195113,3175.97319931607,4960.07086536364,171.469577748512,83.5101968245122,1.0119133282488,NA,NA,NA,NA,NA,NA,NA,NA,1,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",3,4868.00810561688,4868.34979666089,537.047977660505,753.958169604183,45.3501118890144,124.877185753796,1.13120504505013,5,5130.66605250167,3499.59368276334,4542.60835111455,6482.78945241599,186.554259039495,-381.096485040961,1.06366261813407,1,5102.20938167974,5102.20938167974,NA,0,0,0,1,5,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",9,1740.07900440489,1874.44634723624,1381.43000583092,630.480772558343,-174.111219799264,-285.837746304386,0.702801591021311,4,5637.00226007907,5845.06263721132,1700.94043062009,1820.82847114849,314.640570280161,289.174022910233,1.28490824486973,NA,NA,NA,NA,NA,NA,NA,NA,3,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",7,16584.1482484653,18330.3934364331,5961.64980210612,4208.33903079287,105.045273396432,1101.06319542119,1,7,13276.252525692,13817.5301502879,6023.40087439909,7962.91931154175,199.715487404696,1631.62805218849,0.868735014607434,1,12178.854531312,12178.854531312,Inf,0,0,0,1,10,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",3,-667.241212232312,-637.638626203272,1344.4456721191,0,-181.618564932983,-273.291956100984,0.90839660726549,1,8336.55811945555,8336.55811945555,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,13,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",4,3786.92890129642,3025.33824479751,2381.44144454847,4316.99481858882,200.387154365118,103.946375912242,1,2,3106527.45977927,3106527.45977927,3093431.27189498,4374772.45898293,-1300934.41052337,-1210495.29204867,0.496086555005784,3,14951.0613317874,9749.87943263536,15704.7543938843,31546.599805986,824.099549328641,941.215314059,1.01941747572816,3,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",5,12863.3444199386,12732.8745268043,5332.2986347314,6917.94873494759,139.512631561991,-544.215269437766,1.05796532330332,9,20100.5490045966,15342.621380389,10322.086679056,15689.3825632439,1656.84715648843,-1794.9665216452,0.989254242717434,3,54747.1221387046,34691.8091093691,77676.933657377,124399.365263872,23038.5656560972,12459.5312523954,1.87463701772908,3,"2010","Latin America and Caribbean","Chile","High income"
"Costarica","Costarica2010",1,4186.37784347665,4186.37784347665,NA,0,0,0,1,4,10969.8058326899,11105.7264986618,1849.14238022649,1315.05745898473,627.726891189147,628.061286356858,1.15980717562359,2,15938.676165634,15938.676165634,4861.62325603848,6875.37354383807,419.230094136468,419.230094136468,1.13888888888889,8,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",7,1327.71940987809,1561.70038943042,646.527288760258,937.726729925976,40.0199019267439,49.6874672366005,1.10113840170095,3,55707.0266478384,21671.6699492801,70449.3908864651,113486.88653904,19305.8397331302,15899.6229276514,1.74760147625597,NA,NA,NA,NA,NA,NA,NA,NA,12,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
