"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",5,29313.2044574588,13903.7091985657,31702.0261136168,42782.9627559778,15071.5004525162,14887.1540554435,NA,5,29313.2044574588,13903.7091985657,31702.0261136168,42782.9627559778,15071.5004525162,14887.1540554435,NA,5,29313.2044574588,13903.7091985657,31702.0261136168,42782.9627559778,15071.5004525162,14887.1540554435,NA,-8,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",5,57597.1137933396,47063.0182615464,58529.7102290335,46975.9287931697,8810.69753800179,-6453.12644653679,3.60484335408001,5,57597.1137933396,47063.0182615464,58529.7102290335,46975.9287931697,8810.69753800179,-6453.12644653679,3.60484335408001,5,57597.1137933396,47063.0182615464,58529.7102290335,46975.9287931697,8810.69753800179,-6453.12644653679,3.60484335408001,-5,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",35,2596.373908959,2282.98775023602,2005.37547640435,2396.4874532924,-177.354634559084,-195.657987754627,1.15586726095681,35,2596.373908959,2282.98775023602,2005.37547640435,2396.4874532924,-177.354634559084,-195.657987754627,1.15586726095681,35,2596.373908959,2282.98775023602,2005.37547640435,2396.4874532924,-177.354634559084,-195.657987754627,1.15586726095681,-65,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",6,37623.6328324533,38551.1327362508,30429.2655426781,33099.0904636986,11738.8231035002,17421.5839798465,2.54812959443522,6,37623.6328324533,38551.1327362508,30429.2655426781,33099.0904636986,11738.8231035002,17421.5839798465,2.54812959443522,6,37623.6328324533,38551.1327362508,30429.2655426781,33099.0904636986,11738.8231035002,17421.5839798465,2.54812959443522,-4,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",4,18595.3126720717,11543.682028782,17055.5098014598,32207.8155541329,4580.8139315099,3330.0432673153,2.71644427360185,4,18595.3126720717,11543.682028782,17055.5098014598,32207.8155541329,4580.8139315099,3330.0432673153,2.71644427360185,NA,NA,NA,NA,NA,NA,NA,NA,2,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",10,114727.706270928,31312.4226486474,278473.537771801,23188.9337988203,152059.707673451,61984.115516347,0.80343562620456,NA,NA,NA,NA,NA,NA,NA,NA,10,114727.706270928,31312.4226486474,278473.537771801,23188.9337988203,152059.707673451,61984.115516347,0.80343562620456,0,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",68,29044.8039208488,19910.8651226742,22698.8223644289,31853.3042082651,-4323.13695208646,-631.464046170975,3.39980022735392,68,29044.8039208488,19910.8651226742,22698.8223644289,31853.3042082651,-4323.13695208646,-631.464046170975,3.39980022735392,68,29044.8039208488,19910.8651226742,22698.8223644289,31853.3042082651,-4323.13695208646,-631.464046170975,3.39980022735392,-123,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",14,20083.03037261,17014.0435132448,14869.3675520128,16464.1238561044,12953.8277793175,13307.5983728975,0.454347355849561,14,20083.03037261,17014.0435132448,14869.3675520128,16464.1238561044,12953.8277793175,13307.5983728975,0.454347355849561,14,20083.03037261,17014.0435132448,14869.3675520128,16464.1238561044,12953.8277793175,13307.5983728975,0.454347355849561,-27,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",50,7372.55566440536,4488.48121664636,8713.3148223189,7189.40018929327,3282.99652480742,-857.889714624354,0.308326293729761,50,7372.55566440536,4488.48121664636,8713.3148223189,7189.40018929327,3282.99652480742,-857.889714624354,0.308326293729761,50,7372.55566440536,4488.48121664636,8713.3148223189,7189.40018929327,3282.99652480742,-857.889714624354,0.308326293729761,-60,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",10,7849.19010542113,3260.93779901195,12566.8421974778,7297.18695274246,-3129.39284176098,-3129.39284176098,0.3125,10,7849.19010542113,3260.93779901195,12566.8421974778,7297.18695274246,-3129.39284176098,-3129.39284176098,0.3125,NA,NA,NA,NA,NA,NA,NA,NA,4,"2011","Sub-Saharan Africa","Ethiopia","Low income"
