"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,1,29,2.11863874407595,1.94853471712859,0.370399314959444,0.391979094590576,-0.0125450662563375,-0.00485970111841395,1.2,11,2.2935199243888,2.11215171963514,0.614597557131825,0.562825307332247,0.0033873374030287,-0.0429636058955699,1.33333333333333,1,3.16022026422556,3.16022026422556,NA,4.44089209850063e-16,0,0,1,"2013","South Asia","Bangladesh","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,6,4.71887500545687,4.37827379702287,0.762204397009093,1.32941378310016,-0.20857359162237,-0.132748960953017,0.4090649898426,2,3.28784658778702,3.28784658778702,0.0128418086706683,0.0181610599874595,0.00113337837478554,0.00118441695570388,1.17315345229731,8,6.41097146870678,5.96944216273808,2.01868551200152,1.46675407835938,0.373191576537066,0.425331858249076,2.13088938172811,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,2,45,2.41347325535551,2.37032488179605,0.399278648299768,0.451728775586336,0.0142757674270712,0.015941019250665,0.851734011171294,18,2.47424573565827,2.4064339547361,0.693371517987099,0.568880574733946,-0.0724786239685909,-0.0508198572167442,1.5500411709532,57,2.64703274656557,2.49812729437367,0.595679838354537,0.668070427013905,0.0669946755256756,0.0304878794142397,1.16028593562035,"2012","East Asia and Pacific","China","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,0,8,2.62890403967929,2.42186358501992,0.546199124271794,0.808698487085829,-0.0675597138134172,-0.0695205335724657,1.11073245034154,10,1.55355994591436,1.44970930029072,0.405264106167973,0.438349671799385,0.0467654953719282,0.0304174720683624,1.06864312235395,3,2.94340957762095,2.66144330033267,1.22889071052832,0.735793921700271,0.727642330780957,0.798095594361124,1.91689780366131,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,13,67,2.67044172204929,2.45952499971058,0.74510228957164,0.784776985730744,0.0471659492425935,-0.0266254764476732,1.01032046805713,65,2.20653492012331,2.14299097095045,0.761339109916555,0.748862333129073,0.0106977912390336,0.00573564464439162,1.18829435517235,17,2.17912015600114,2.18078237793157,0.0904532565032608,0.0174224322759251,0.0105134670909087,0.0674348058115919,0.437252075495322,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,81,2.68199251822036,2.5208697295745,0.604899455306448,0.997530092812575,-0.00469513860179484,-0.00476696573648796,0.954748772264211,102,2.44395809273897,2.2836538808154,0.488944898969611,0.655136465581954,0.0552091867107969,0.0347557205190805,0.746039550923075,29,2.61929915455125,2.52702295719647,0.42182222372862,0.728496633932698,0.0630739755659361,0.223521915609,1,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,1,31,2.46733468357531,2.21016142619368,0.552021622590415,0.959184950943463,-0.0530563096148575,-0.00817951728028335,1.65097485093929,53,2.29360505774693,2.19930993506701,0.526773977179013,0.550340402593026,0.00212617377742823,-0.0293543494672429,0.840411308216675,10,3.26766758521976,3.26528318833759,0.805030468110674,1.55052792666067,0.409325565944182,0.330512517870208,0.864010241453453,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,1,28,3.31878218154747,3.35862381124716,0.665216493376259,1.17559117270586,-0.0283693694024515,-0.00777226987438397,1.26005166113996,108,2.98377933965139,2.93093964968278,0.752139986528758,1.21500904030965,0.0111438333583092,0.000939592254040208,1.1189847622836,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,13,8,1.95356689495715,1.91036347299934,0.226788591347717,0.324519379634591,-0.0032558773001899,-0.0596336470980052,0.99538470672318,NA,NA,NA,NA,NA,NA,NA,NA,3,2.7784640502302,2.66432081927541,1.01839048447535,1.99589854150329,-0.18030898702344,-0.129227756354897,0.996396777071481,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,3,12,2.56410011226733,2.49708318706738,0.880454259096594,1.36534545200196,0.0697849936042981,0.0249574784691521,0.932554365378076,36,2.4567025587551,1.83183385122863,1.14123863245779,1.33895093380846,0.182873740197896,0.0136444532962625,1.26764253910032,4,3.21412726776443,2.85833428568307,1.428681430041,1.64162908851601,0.546394837618453,0.550852940765536,2.20332265202807,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
