"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,0,3,2.73838933466312,2.75124847640535,0.974341443982453,1.28483699816879,-0.187488315323699,-0.45451059162892,0.690269042949902,13,0.901767688005513,1.19721895123086,0.984315088951621,1.75580952963001,-0.146778110506047,0.0586320069657272,0.845087099706054,24,1.51545470984319,1.42498357608609,0.323518209052929,0.63815784237269,-0.0334273814770413,-0.0254690885804162,0.884035266242557,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,1,4,2.52484998042772,1.82996922802797,1.25432225383701,2.1604867957849,0.122250760344378,0.0858550319568461,1.176109269208,11,1.66275081949677,1.74072963765058,0.390286212897545,0.490679584790451,0.0538671870389485,-0.000819453530242155,1.08192145462669,13,1.77730231091285,1.74243616718062,0.407541884492169,0.431457750363641,0.0343110148544451,0.0586984035673726,1.07833686912162,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,0,23,2.47177166277214,1.91348862166607,1.28717196779085,2.01155957779468,0.0916014094007013,0.230033299580939,1.1700930422408,6,2.63402697306943,1.96022989569769,1.81573562921377,3.92268220830207,-0.0698220944750992,-0.0522314738728008,1.23616584750781,24,1.76167164269819,1.69931918492736,0.481087197896879,0.369333696670269,-0.00836552152114909,0.0135356712399756,0.600324372292052,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,9,21,1.59869330786265,1.50904291725945,0.247753006636688,0.213297277904996,0.0766539525514271,0.0380886996296832,1.04667226041301,41,1.5303516900729,1.41501879721663,0.303796353533612,0.313968793979456,-0.00332726702603371,0.00907416793233809,0.984198080760462,54,1.57413564823308,1.56855342724116,0.283287089959086,0.230303147537764,0.026129583084647,0.0169987693615436,1.21658179827041,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,0,52,2.03715736350496,1.93012778381012,0.679696340105298,0.711062086902054,0.160417129272189,0.0747383815521165,1.21747733657303,23,1.84918472832759,1.78979397823503,0.393212857110498,0.554536061770909,-0.0101039581881687,-0.00033281752457949,1.00342795830382,56,2.0731037653241,1.89794315973646,0.574971411730816,0.760558763989387,0.0506624254803572,0.0515299775081206,1.83146909634994,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,3,12,1.87148806682381,1.77083044980831,0.328984825473692,0.30342486592059,-0.012001997419021,-0.0105699865241304,1.32741295142788,54,1.82862616410655,1.67295450339109,0.491625292355334,0.276756946345397,0.107123474382379,0.00230714406815548,0.57446332927651,36,1.88386899710605,1.90054580697263,0.261378984213799,0.351841013590093,0.0430780136988371,0.0259835857657785,1.38528641732261,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,0,4,1.62088991324036,1.49740855549763,0.428618082557021,0.844010913295367,-0.115096780342518,-0.126375805948141,0.31050076279122,11,1.54118486658888,1.6178468484213,0.456028269640639,0.587800039002765,-0.0677188539382576,-0.0830605708932264,1.00759127716225,3,1.80998762737287,1.81296747145349,0.403574318309819,0.777471110387395,-0.0932857087757255,-0.0855764203508533,1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Drc","Drc2013",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,13,0.515869096059628,0.370711646830373,0.729597951119072,0.607767247645747,0.0741276960151399,0.0739578234996133,1.07714326788072,3,2.31441795493489,2.44094072549656,1.77557948136686,1.74857671900898,-0.421864329975761,-0.32037097606255,0.759423431716311,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,39,1.4739278062848,1.59833866680858,0.52469860285481,0.615550372917738,0.0132939867667061,0.00271971064531674,1.4,25,1.79487462313372,1.64592802952264,0.663485156465974,0.52588591402324,0.134184040088415,0.0895106762396482,1.41535702142993,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,1,2,2.23820063630583,2.23820063630583,0.407841332761516,0.576774744087654,-0.170351511676387,-0.159977410465871,0.591199847758237,42,1.93049268672282,1.72853769537427,0.73337573291655,1.3525657088058,-0.0427770465237473,-0.0356134053501055,1.10319730626484,4,3.09376184448991,3.08934116440721,0.122837521404447,0.102539273894396,0.00909935857669391,0.0211721222359631,0.731011258806909,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
