"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,3,24,1.58316700969834,1.60582090072815,0.382328725529337,0.417044822381053,0.0732733114277854,0.0840963267390495,3.2904566932928,11,1.76209949603667,1.74556180756466,0.153693547890913,0.28439012782977,-0.0118627084054225,-0.00749231180996508,1.36764972099877,30,1.73502242461472,1.67680005452377,0.351363471306578,0.306462545145907,0.00829536946226557,-0.0149865121565078,1.1242694802394,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,11,0.0213089316749723,0.0836136085726988,0.234186124617048,0.269415603754764,-0.000264819694080064,-0.00135070136016513,1.64853664628594,8,0.0767275982014298,0.199838573351595,0.34441280812276,0.421780478956807,0.000291477169522949,0.00575861476174058,1.00878966276481,7,0.373760257616382,-0.0146845950315299,0.834318339447142,0.544422597753091,0.0897055036996065,0.113014643621703,0.848306725957198,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,2,36,0.318538115062136,0.250633129435094,0.566985283157993,0.681739509496117,-0.0536944814175584,0.00629445643174231,0.826614852283863,26,0.977787748586855,0.390429481807982,1.39321661894961,2.92548077373882,-0.269481363117877,-0.216398757345105,1.59457275325124,69,0.366611403302383,0.141897587993604,0.846846908613621,0.815718954543188,-0.00338892677277437,-0.00679333686416373,0.8,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,6,1.73757450030722,1.79445986924672,0.31452413514079,0.479198608537203,-0.0187939599641657,0.0386397075846361,1.14285714285714,4,1.81751731919478,1.89126489934326,0.401923476499361,0.515490293935816,0.0502201052551318,0.017919659008111,0.917493527473915,6,2.52160182976855,2.34724285048037,0.769695339206688,1.13799958609647,-0.0189216499458291,-0.0869644679797796,1.34264316906151,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,3,14,0.254626865406628,0.189625738608941,0.250659884842106,0.0527713202531377,0.00445082903316405,0.00343908552744965,0.616904730929244,49,0.683978970664642,0.50099643831487,0.865477418974491,1.04401267152927,-0.438794169471962,-0.644048272921587,0.879647900012644,50,0.412039900441535,0.289785727760609,0.628283223732895,0.632354913662409,-0.0235188634817277,-0.0291071557638789,1.2,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,0,4,-0.493660511468445,-0.522498411174984,0.418819454247398,0.430825806723508,0.0577113597465645,0.0197455740748836,1.16764780742006,5,-0.690418106802193,-0.720746101327664,0.162423729299746,0.276453728322981,0.0295652857913655,0.0207876744333486,2.13857659152681,8,-0.35389783997512,-0.406744000998273,0.306503020743375,0.495971361510787,-0.0428385443422018,-0.0455265670574931,1.00152487413368,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,13,0.169594029246636,-0.551089261537773,1.2835381164157,2.08140020108114,0.00421725086008457,0.0858191874758395,1,12,-0.145689035877146,-0.2824274128482,0.514830989914809,0.454717182496863,0.0250430651491795,0.0537270957268254,1.02230782828324,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,4,93,0.340086955561697,0.227761871888951,0.546456120917364,0.642571402154548,-0.0439451965389233,-0.0350228506301759,0.743827868536152,48,-0.0724073375488253,-0.154461907974151,0.381154382501849,0.514226602001868,-0.036516465734616,-0.0385945466404524,0.744235852338532,151,0.37759453272311,0.227803914610303,0.513320009595531,0.627747579096315,-0.0264397337988692,-0.0185232267971343,0.844910916391271,"2014","South Asia","India","Lower middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,1,3,0.0358613087370917,-0.14069673646609,0.455345416403046,0.858662563055736,-0.0253873791281803,-0.0141924253188219,0.806112352752682,6,0.853535563453555,0.729301779465414,0.654393774535151,1.01748590549191,-0.0450116979418483,-0.0818411606420998,1.11741829096134,6,0.128583117619981,0.060887604757896,0.17312025247678,0.0714718783964301,-0.0168162601958899,-0.0161378160878845,1,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,2,36,0.258447301950796,0.165979390402531,0.534523553999026,0.587303057440827,0.023091890038564,-0.00300215157594442,0.836271259807301,11,-0.235317271107013,-0.293906678262064,0.440344858266054,0.702523184166078,-0.0466074472553673,-0.0733645589302331,1.02538740634918,44,-0.068074954280217,-0.206648036059108,0.487885688071841,0.569058103503025,0.00842121890634221,-0.0190468810812281,0.927629897919031,"2010","Latin America and Caribbean","Mexico","Upper middle income"
