"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Large firms","mean_Large firms","median_Large firms","sd_Large firms","iqr_Large firms","OPcov_Large firms","OPcovNoWeights_Large firms","indAlloc_Large firms","N_Medium firms","mean_Medium firms","median_Medium firms","sd_Medium firms","iqr_Medium firms","OPcov_Medium firms","OPcovNoWeights_Medium firms","indAlloc_Medium firms","N_Small firms","mean_Small firms","median_Small firms","sd_Small firms","iqr_Small firms","OPcov_Small firms","OPcovNoWeights_Small firms","indAlloc_Small firms","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,6,30,1.7193774183593,1.82358345905567,0.386524936480314,0.263150571644488,-0.106075803687562,-0.0405393183995984,0.326500555483938,40,2.0921327173521,1.99808526103183,0.592644401032418,0.907431804233786,0.135844131192402,0.0894072253680665,0.698323949034586,27,1.06666895698727,0.982691040962601,0.604960179813526,1.02245997072331,-0.0304177147888015,-0.0384419946035302,0.855946867308493,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,1.2738268896505,1.12891374260148,0.425619238048388,0.459132121287497,0.0383094427237206,0.0393579923658967,1.0225,10,1.4682368430213,1.22391189990897,0.675469792556679,0.746975244227057,0.152499267102411,0.142920565953687,2,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,1,49,3.05393597715413,3.20006375106478,1.09295854558994,1.82223291559601,-0.26391193873135,-0.341512056814571,1.30414175584442,60,2.77398355108127,2.51213402730001,1.19812207734457,1.28948409723688,0.0666812979691848,0.061293880896986,0.951084131732584,41,2.56253878202814,2.34200596337525,0.724198532548597,1.02717272667641,0.0671259700408734,0.0447747513704002,0.767598200869413,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,0,4,2.38206427658637,2.17913121560844,0.591148117605524,0.553343363340282,0.0638738442380231,0.0638738442380231,1.71359223300971,9,1.95654209259897,1.98179053184194,0.456633451629783,0.310608913912847,0.0845481141892214,0.0588561990590064,2.99068322209468,12,2.22285870305477,2.2911146782751,0.362474966370856,0.479892248428087,0.0965747325454685,0.10092536627858,1.44880763014913,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,2,31,2.92908897091099,2.65510948271017,1.35298388141686,1.74984141782454,-0.381064240056355,0.274914455915514,0.107754771105887,46,2.3401591418649,2.43660207476732,0.86459897475563,1.06688146621998,-0.0462186485853215,-0.00497196141424079,0.4971904496141,52,1.89876915280075,1.82396675987363,0.528109285347546,0.426391251467862,-0.0451174449523312,0.0348013212852652,1.55555555555556,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burundi","Burundi2014",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,3.66254744532705,3.65327802415435,0.610844260225411,0.558411856067501,0.0342481161846686,0.037859491523839,0.952072981280501,3,3.63515991649708,3.57428430419671,0.276603537977393,0.511455312551018,-0.0160149385643843,-0.0161315570115847,0.8,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,0,10,3.53631625746032,3.61051681509522,1.34238700632413,1.856240397708,-0.520240592431442,-0.540922339030087,0.220533375678888,6,2.14673249177218,2.37382973386143,0.81784841445078,1.53595424334307,-0.0532511784322858,-0.0157644582329892,0.887692743801187,2,2.3094940550486,2.3094940550486,0.22312962830905,0.315552946521926,-0.00508837561297289,-0.00508956365357945,0.967551905451306,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,39,2.29829687063193,2.44888174079631,0.827115592492413,1.13399858446132,0.110138885848379,0.0144643297538744,1.9995428862301,55,1.65117335050128,1.47313976459535,0.565595659101753,0.655247467271667,0.0468511451263948,0.0370100945664167,0.955395828652666,40,1.80250962192843,1.47403548888819,0.732895164239277,1.00781993761009,0.0275403614705148,-0.0176743303058762,0.942722774818511,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,0,45,2.51549892663672,2.48560977201671,0.537697789970908,0.738869045033734,0.0127177345052824,0.0195961864947556,1.04506821101276,51,2.81857336631383,2.33071337599241,1.00501365199372,1.33216163732676,0.0681729363901481,0.0374843664243641,0.843360066216114,18,2.62660063152738,2.24999119028161,1.16164595050977,1.08774512706729,-0.178169997464261,-0.18459314125562,0.908878750716762,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,2,28,2.83056005802233,2.80326778410324,0.570602452959724,0.415701522485278,0.659830199576237,0.820851519404038,0.917854213111321,44,2.71280544369307,2.8401393074475,0.672267314702433,0.965338332446503,0.0573134254115807,0.104818760728475,1.2,37,1.95013486799763,2.05828091588444,1.19801315868557,1.07692651799906,0.136453557468665,0.0383797248904678,1.99767134050771,"2010","Latin America and Caribbean","Colombia","Upper middle income"
