"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,2,29,1.89118974499089,1.74114302164397,0.532109919252706,0.459410083478618,-0.0355108521912537,-0.020575276330522,1,11,2.26559613213458,1.92468078864284,1.11994066577796,1.55964917181261,0.0100703788973602,-0.0637641672017301,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,6,5.7177782150388,5.51161629952717,0.778925055028847,1.1164638268071,0.204111082525778,0.221257852844294,1.44764447701109,3,5.88300368291816,5.70266854253353,0.851868714338107,0.55895648907774,-0.044255699229212,-0.0393016834621972,0.873797022863084,7,7.14465045057292,7.01139280404472,0.692621690120101,1.09320803192427,-0.0126142418317932,0.25237406220407,1.8575478269926,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,2,46,2.15304613159847,2.06353516841617,0.565905498081104,0.520605115237973,0.010847262717246,0.0237954748509147,1.03431215374907,20,2.16957161871694,1.92617814876128,0.863593218600959,0.632574785186548,-0.154944090246684,-0.121380553905329,1.07648650651417,60,2.5110154128626,2.2474025371429,0.895620016216635,1.10544722986213,0.035293100441263,-0.0393446982496648,1.06220315108414,"2012","East Asia and Pacific","China","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,0,9,1.7141867303136,1.73160386574163,0.627253084176056,1.04064207112052,-0.0367767164341453,-0.0420077027200906,1.11358271879384,10,0.777521940970573,0.541094967606896,0.605044953632583,0.461720909469152,0.0677714766688986,0.0542347860968681,1.06126472808062,3,2.48282108254314,2.22278903515674,1.29272150689969,0.879684914774153,0.762273077328481,0.832903433240122,1.91689780366131,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,9,68,2.54064859419692,2.37003101561407,1.09512232389026,1.79011514382918,0.125371495328429,-0.00375333831837254,1.18354818838958,68,2.04534911161848,2.07063609191073,0.99558230537482,0.8628175727453,-0.0147502724934909,0.00362102438678034,0.79872208172445,20,1.74862203851597,1.88920310436364,0.30475471069059,0.286354334156282,0.0340763532971043,0.192696108260254,0.984165027307792,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,1,81,2.79325617035605,2.45839659747601,1.02473599933221,1.03542462464606,-0.083218254197498,-0.105680225819091,1.2228430072004,102,2.37456496767605,2.32456206135623,0.726821119122091,0.931319709342326,0.0275677157079982,0.0441114894606112,0.653585400517698,30,2.64471458342037,2.43285367126308,0.716819514666084,0.765237842941488,0.113619323397131,0.364655415701097,0.396218522914175,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,1,31,1.77616507093074,1.73963661768694,0.643249529929562,0.873726531723708,0.0421449720357439,-0.01355052582984,1.52741158751778,55,1.47862102540763,1.40118368636643,0.542936592814723,0.821797101237227,-0.0213796405678281,-0.0499408172281246,0.741524875608783,10,3.07772759431587,3.23086553268212,1.09018923721259,1.97917865214143,0.383946522932633,0.297109537179238,0.864010241453453,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,1,28,2.33214334982476,2.19460701268193,0.880634024840155,1.5228127998929,-0.0647153554275708,-0.0476997958245049,0.916350532377342,108,2.17827269869718,1.96003952666832,0.776800561405891,0.804902274611155,-0.0372616469048454,-0.119191934508023,1.08839961313578,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,16,5,1.425337437671,1.42484408801398,0.158895323775939,0.193989513923411,-0.0134622038249912,-0.103165008085014,0.44724180465591,NA,NA,NA,NA,NA,NA,NA,NA,3,2.20651860600927,2.5820123452994,0.83887368315634,1.56010627913161,0.26235907666615,0.300586564235507,0.996396777071481,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,4,12,1.723415029955,1.67979395295806,0.397596188716047,0.826913794438547,0.0388203237191376,0.0199919023591184,1.02610458838029,37,2.02375159613983,1.54496385278618,1.11301085482246,1.59583503434235,0.17166395218931,0.00637435520926346,1.49519783766134,4,3.20288110348955,2.78326843382527,1.92476271729108,2.68867577965593,0.666213784764137,0.671604553722792,2.20332265202807,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
