"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Small firms","mean_Small firms","median_Small firms","sd_Small firms","iqr_Small firms","OPcov_Small firms","OPcovNoWeights_Small firms","indAlloc_Small firms","N_Large firms","mean_Large firms","median_Large firms","sd_Large firms","iqr_Large firms","OPcov_Large firms","OPcovNoWeights_Large firms","indAlloc_Large firms","N_Medium firms","mean_Medium firms","median_Medium firms","sd_Medium firms","iqr_Medium firms","OPcov_Medium firms","OPcovNoWeights_Medium firms","indAlloc_Medium firms","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,38,2.5182704956047,2.480381605933,0.635572749756203,0.728445550020988,0.0533047393270388,0.0639097297038904,1.28919507289587,13,3.9877078510982,4.46667516122708,0.928732618840588,1.48181859576149,-0.167164499531276,-0.0697626710906202,0.884230611754936,37,2.8005608966611,2.55000112042159,0.921604396834246,1.068015529319,0.023342120849353,0.0263612556320125,0.869799501636989,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,4,55,2.14401740271883,2.2276544203307,0.496402147574257,0.491137686569618,0.0219842450714405,0.028237161846461,1.52113250570918,18,3.12421462303207,3.07807438314308,0.7884875923963,1.33575956221404,0.100903702672412,0.104829776326624,0.760872198504433,62,2.42660078265592,2.29971450905726,0.674223814927635,0.9016182315762,0.0802437385970542,0.0261402745789915,1.13411096458225,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Drc","Drc2013",NA,NA,NA,NA,NA,NA,NA,NA,2,27,0.313317598676911,0.277688401390264,0.728156964840851,0.563850138752143,0.0906135626121483,0.089084433685875,0.573851506592276,2,1.15877244307318,1.15877244307318,0.862797965799432,1.22018058482147,-0.166935783420904,-0.164627539221945,0.77299038886585,3,-0.050588529296012,0.0800165044208637,0.597843635324428,1.16094846578756,-0.206122041815839,-0.198201324103854,0.540453392657832,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,0,58,2.41179359929162,2.44779197383337,0.998173747156117,1.402919099811,0.12473505199411,0.0451703512496727,0.629985767927705,7,2.33453091590107,2.54054635391413,0.702150887139588,0.765770557821497,-0.300529575887581,-0.230702181995603,0.297025788258232,39,2.58987331399236,2.39934698605219,0.704126838676153,0.921357042682873,-0.13366316026037,-0.0692838134298269,0.857904464040519,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,0,15,2.44366355058662,2.31162840985277,0.930756718006828,1.29226652347067,0.161852028293314,0.196678009173876,1.23158788947994,NA,NA,NA,NA,NA,NA,NA,NA,2,4.91809586137467,4.91809586137467,0.357646678514299,0.505788783292612,0.0825098276382866,0.0803772872674306,1.39407450507594,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,2,9,2.70771766616738,2.66504255624842,0.281801582553781,0.325624111148574,-0.0225771225530251,0.000842974880817945,0.648701022919855,6,3.7916306867595,4.07350810221265,1.16830209358449,2.04481502856108,0.227930789116344,0.214306042932793,1.41797716488714,21,2.90980819283264,2.60934678379115,0.830148174055632,1.15500095792008,0.0539681536624262,0.0412124438566861,0.750526566147982,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,9,9,2.1738029629508,2.10896407329174,0.693068678217185,0.871350915898137,0.0651598232581388,0.0504823089544861,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,0,22,3.13780619448525,2.95163640146292,0.687453142349366,0.890792355918574,0.0148930954495991,0.0102023641310182,1.01942459097552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,32,3.45733644022782,3.49357747181448,0.599023290880757,0.619954652531263,-0.0396713149975595,0.0239471119764492,0.921021163325872,35,2.83154158912364,2.7054096454668,0.442166387717956,0.282925643249492,-0.0244228634373378,-0.00274467277664481,1.16352543910739,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,1,21,0.463651062138458,0.53958877109314,0.598317791454044,0.694259225956429,0.187223635573926,0.144585721348254,1.0402769029757,NA,NA,NA,NA,NA,NA,NA,NA,4,0.552594641456369,0.307962544867109,0.832607367443578,1.55354388629359,0.10489255154284,0.0923683102003663,0.927477114627634,"2013","South Asia","Nepal","Low income"
