"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",50,0.316109931926652,0.281961870114773,0.17591346745174,0.264974981631154,-0.0192471862109676,-0.0377232296647266,1.2,12,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",13,0.0519206686930951,0.0356754026104242,0.053598338079682,0.0670005653188547,0.0017208881416561,0.00689754234698441,0.696828945657745,1,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",32,0.264086784860291,0.247958246452786,0.0883977551979071,0.136,0.0260094926027367,0.0264262976735212,0.399757151886385,1,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",11,0.421206993028747,0.288618850632253,0.216848407455975,0.313823204789458,-0.117781143727903,-0.104131055086608,1,1,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",15,0.148121987620446,0.118288881849924,0.14660676733758,0.198880597014925,0.0231819635518393,0.0403233604147475,1.06119300168209,0,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",17,0.408832755637693,0.430712110582671,0.282165801331441,0.511111111111111,0.0430824296314798,0.0130087834528791,0.489011586757231,0,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",24,0.276835140060893,0.278995418570141,0.113200360422029,0.142857142857143,0.00599357196223204,0.0151809117954783,0.526315789473684,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",76,0.309457031962306,0.212111992001154,0.203164450605495,0.25,-0.0236887050440435,-0.0293661111321515,1.06359668949486,0,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",25,0.29316563375415,0.29729974774495,0.0463077330038725,0.045,0.0185125488970953,0.0198705391583509,0.543570359461382,2,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",5,0.261403476910238,0.313078055100804,0.176232731039309,0.221888226095486,0.0155433489189984,0.0204000677862711,1.69991104918841,0,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",34,0.268711303552335,0.212804622415201,0.133657982180804,0.243764705882353,-0.0513482864436081,-0.0597143537103073,0.466666666666667,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",43,0.323902689150515,0.258094233450668,0.206178318411521,0.288666666666667,-0.0260301075406173,-0.0183960357015581,0.949307868336373,0,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",1,0.466666666666667,0.466666666666667,NA,0,0,0,1,4,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",12,0.27750845716476,0.29474677941807,0.11593723056436,0.107575757575758,-0.0519335235250868,-0.0172241763676237,0.232390849945731,1,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",10,0.179631398387643,0.195654371435181,0.0946342233651846,0.148424493564504,0.00189895619617324,-0.000118705318205206,0.629070812167113,0,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",15,0.341978439095465,0.336782072470696,0.187712367931156,0.275,0.0133079445947688,-0.0364111340024595,1.76431040927535,0,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",12,0.314184318455669,0.25442288117628,0.184947999930023,0.194479762661581,0.00508347149649533,9.60368871938476e-05,0.651784115630918,0,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",20,0.133005483183041,0.115534733432869,0.100615582924464,0.11096563047551,-0.018190575752736,-0.0248362714611521,0.799238244300872,0,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",17,0.211092479782312,0.212727579185006,0.105994497731743,0.117507563387077,-0.00464149021947786,-0.0202032381009738,2.03615718533775,1,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",34,0.329100646642732,0.32,0.159325168817967,0.193103448275862,-0.0602962410197318,-0.0987932457385096,0.584015885766813,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
