"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Bahamas","Bahamas2010",16,0.303723063550405,0.274081178961949,0.164303663644432,0.233333333333333,0.024122792225579,0.00925760984943697,0.806740317854159,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Barbados","Barbados2010",6,0.552920314755871,0.628932249483337,0.333606207987277,0.234577422173507,0.080784334814867,0.107952916297953,0.212114433923888,0,"2010","Latin America and Caribbean","Barbados","High income"
"Grenada","Grenada2010",10,0.225250861437599,0.231977690877955,0.20481595328049,0.294444444444444,0.103076121454507,0.0999128345623853,0.266954185894097,1,"2010","Latin America and Caribbean","Grenada","Upper middle income"
"Guyana","Guyana2010",5,0.668852007001365,0.673393871442376,0.248713769114997,0.301239035542894,-0.0375682371521152,-0.0445965656643058,0.96014968344179,0,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"India","India2014",32,0.51446911514297,0.570779882009065,0.229982966454932,0.239389534883721,0.0638411500463999,0.0606683452907535,0.257511707678057,0,"2014","South Asia","India","Lower middle income"
"Iraq","Iraq2011",37,0.0297621239122894,0.028332218470039,0.0189309673872208,0.0291666666666667,-0.00616707219384736,-0.00363048403454797,1.38348623625509,1,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Mauritius","Mauritius2009",2,0.8,0.8,1.9110809972236e-16,0,-1.07852076885685e-32,0,1,5,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Namibia","Namibia2014",5,1.45943398661116,1,1.42039996642643,2.70833333333333,-0.324288983111855,-0.380592592592593,1.01909147181416,0,"2014","Sub-Saharan Africa","Namibia","Upper middle income"
"Stkittsandnevis","Stkittsandnevis2010",11,0.297687695681726,0.333333333333333,0.169504676399787,0.216666666666667,-0.0322208326844084,-0.0308956924121411,NA,0,"2010","Latin America and Caribbean","St. Kitts and Nevis","High income"
"Suriname","Suriname2010",4,0.433690476190476,0.447142857142857,0.102278187627661,0.0870238095238094,0.0255687830687831,0.0255687830687831,0.777777777777778,1,"2010","Latin America and Caribbean","Suriname","Upper middle income"
