"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Bolivia","Bolivia2010",5,0.601554835003682,0.629823514702735,0.217770004276922,0.393231111111111,0.00745578386582396,0.0178706249596146,0.692180204388889,0,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",6,0.630214144240294,0.59963922162809,0.505954075466987,0.63009900990099,-0.167014447339796,-0.036650462181594,0.835485402905596,0,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"China","China2012",1,0.225,0.225,NA,0,0,0,1,4,"2012","East Asia and Pacific","China","Upper middle income"
"Cotedivoire","Cotedivoire2009",1,0.111111111111111,0.111111111111111,Inf,0,0,0,1,6,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Estonia","Estonia2013",10,0.45287404067389,0.580407444579647,0.337144009574222,0.655550682807926,0.226629276194517,0.225439725137675,0.47401657378661,0,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",9,0.233114691299438,0.226735075687933,0.235161040142464,0.298749375,-0.0620908292958888,-0.0461100062913646,2.53939393939394,3,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Grenada","Grenada2010",15,0.623359294299555,0.687180078968733,0.300517346805875,0.512059369202226,0.069764109959682,0.0688013817261328,1.32820755418607,0,"2010","Latin America and Caribbean","Grenada","Upper middle income"
"India","India2014",75,0.547732789282469,0.413187437194487,0.269511771448158,0.372231904761905,0.0724577825592096,0.0395248219744645,0.133333333333333,2,"2014","South Asia","India","Lower middle income"
"Iraq","Iraq2011",29,0.0304054692181317,0.0209820529775398,0.0371338625772273,0.0383223140495868,-0.0102613026101158,-0.0122348955712908,1.84054852491335,4,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Jordan","Jordan2013",6,0.589881465931365,0.639430881618382,0.181709568835045,0.138528138528139,0.00319011066894357,0.0767532364754587,0.75,1,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Malawi","Malawi2014",7,0.585542289036158,0.581000190130928,0.338702275060487,0.44,-0.163994960445407,-0.155365751825985,2.3495072410215,0,"2014","Sub-Saharan Africa","Malawi","Low income"
"Morocco","Morocco2013",5,0.580804273513669,0.719501825580396,0.357904663286,0.444444444444445,0.0350861877213742,0.0321542188068937,2.11472785108397,0,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Namibia","Namibia2014",5,0.463589098683711,0.405338118921477,0.502828661225036,0.743333333333333,0.333792925539968,0.206040767386091,0.0769439034770976,1,"2014","Sub-Saharan Africa","Namibia","Upper middle income"
"Nigeria","Nigeria2014",17,0.504592853055551,0.546308947126433,0.397906261519366,0.742857142857143,-0.0660511017734717,-0.0896192398403001,0.959107326470681,3,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Paraguay","Paraguay2010",6,0.00302700908320403,0.00245541862674851,0.00238701585244149,0.00404166666666667,0.000431567785329214,0.000402594928401827,0.812916311098657,0,"2010","Latin America and Caribbean","Paraguay","Upper middle income"
"Peru","Peru2010",5,0.53166178783449,0.539273300157799,0.431188841144565,0.627404865876482,0.148501984415154,0.247046571452326,1.15701051420029,0,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",5,0.410932671798056,0.270513643995759,0.308557216816833,0.5,0.0722096017769338,0.0427948350071736,0.493856864389869,0,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",1,0.668067226890756,0.668067226890756,Inf,0,0,0,1,5,"2012","Europe and Central Asia","Russian Federation","High income"
"Southsudan","Southsudan2014",31,0.546980115973053,0.58211505299144,0.250552484374998,0.247887323943662,0.00614302127396339,0.00518746118634349,0.890566495277298,4,"2014","Sub-Saharan Africa","South Sudan","Low income"
"Stkittsandnevis","Stkittsandnevis2010",6,0.459244849807895,0.392519845219618,0.353452813160507,0.512087912087912,0.082555854506434,0.103639570340666,1.04831213815131,0,"2010","Latin America and Caribbean","St. Kitts and Nevis","High income"
"Stvincentandthegrenadines","Stvincentandthegrenadines2010",7,0.504515565486234,0.5,0.278938293581874,0.34,0.0318551131091399,0.0147728872113109,NA,0,"2010","Latin America and Caribbean","St. Vincent and the Grenadines","Upper middle income"
"Tunisia","Tunisia2013",5,0.668114235888143,0.65890131433248,0.109450434525709,0.104166666666667,0.0579681288087034,0.0895013558863824,0.809663682372479,0,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Vietnam","Vietnam2009",6,1.64266513324229,1.47217137671145,0.948092684564571,1.2625,-0.217639503876716,-0.121420755170755,NA,0,"2009","East Asia and Pacific","Vietnam","Lower middle income"
