"","N_0-5","mean_0-5","median_0-5","sd_0-5","iqr_0-5","OPcov_0-5","OPcovNoWeights_0-5","indAlloc_0-5","N_6-15","mean_6-15","median_6-15","sd_6-15","iqr_6-15","OPcov_6-15","OPcovNoWeights_6-15","indAlloc_6-15","N_16-30","mean_16-30","median_16-30","sd_16-30","iqr_16-30","OPcov_16-30","OPcovNoWeights_16-30","indAlloc_16-30","N_+30","mean_+30","median_+30","sd_+30","iqr_+30","OPcov_+30","OPcovNoWeights_+30","indAlloc_+30"
"Min",2,0.0452248623270018,0.0251315992068861,0.000987401361116379,0,-0.133347276220053,-0.168628374820148,0.0218145785340105,3,0.0411495211956493,0.00629589130881541,0.029238209138242,0.0291666666666667,-0.169199918459387,-0.151367796802425,0.0556866034405872,3,0.0384067168207968,0.0081735662864107,0.019697991778695,0,-0.152818976984599,-0.136115813289445,0.133822510708049,2,0.0347826896888291,0.0208191052368887,0.00282713411329489,0,-0.211224951150241,-0.213869467941271,0.127523496715636
"Max",3,0.0411495211956493,0.00629589130881541,0.029238209138242,0.0291666666666667,-0.169199918459387,-0.151367796802425,0.0556866034405872,3,0.0384067168207968,0.0081735662864107,0.019697991778695,0,-0.152818976984599,-0.136115813289445,0.133822510708049,2,0.0347826896888291,0.0208191052368887,0.00282713411329489,0,-0.211224951150241,-0.213869467941271,0.127523496715636,194,0.829040404040404,0.829040404040404,0.397672626184391,0.692112122548823,0.271432813595135,0.237389821570103,66.2147790513315
"Mean",3,0.0384067168207968,0.0081735662864107,0.019697991778695,0,-0.152818976984599,-0.136115813289445,0.133822510708049,2,0.0347826896888291,0.0208191052368887,0.00282713411329489,0,-0.211224951150241,-0.213869467941271,0.127523496715636,194,0.829040404040404,0.829040404040404,0.397672626184391,0.692112122548823,0.271432813595135,0.237389821570103,66.2147790513315,2401,0.474425559640781,0.571562043496009,0.333618907087688,0.668918918918919,0.167638957337178,0.174428514989713,4
"Median",2,0.0347826896888291,0.0208191052368887,0.00282713411329489,0,-0.211224951150241,-0.213869467941271,0.127523496715636,194,0.829040404040404,0.829040404040404,0.397672626184391,0.692112122548823,0.271432813595135,0.237389821570103,66.2147790513315,2401,0.474425559640781,0.571562043496009,0.333618907087688,0.668918918918919,0.167638957337178,0.174428514989713,4,2521,0.372214945674323,0.404827777487207,0.29120724238594,0.437305295950156,0.207582072996338,0.282629646612359,5.87444244724053
"Stdev",194,0.829040404040404,0.829040404040404,0.397672626184391,0.692112122548823,0.271432813595135,0.237389821570103,66.2147790513315,2401,0.474425559640781,0.571562043496009,0.333618907087688,0.668918918918919,0.167638957337178,0.174428514989713,4,2521,0.372214945674323,0.404827777487207,0.29120724238594,0.437305295950156,0.207582072996338,0.282629646612359,5.87444244724053,1663,0.699180379025729,0.647575088988815,0.704118719494189,0.66,0.260382779860777,0.318314909456746,6.34143866824653
"High income",NA,NA,NA,NA,NA,NA,NA,NA,19,0.224203179827029,0.203203366291836,0.142219595163483,0.186934447264119,-0.00832851374615595,-0.0159699441411154,NA,40,0.222186079312978,0.2,0.139216754152687,0.19962163372859,-0.0118333834131125,-0.0306561074078815,0.925905716568414,NA,NA,NA,NA,NA,NA,NA,NA
"Low income",NA,NA,NA,NA,NA,NA,NA,NA,48,0.188354579836492,0.161072176919088,0.151342284801895,0.210666666666666,-0.014970597033035,-0.0155515622360468,0.797708931570222,53.5,0.175379214471031,0.128556995761495,0.113812562958643,0.120679700826296,-0.0229212363480748,-0.0469364904917638,0.85937920278472,NA,NA,NA,NA,NA,NA,NA,NA
"Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,42,0.193226588838356,0.148658146491519,0.163229851031269,0.195774647887324,-0.00814576361185203,-0.0189835341687865,0.952197982428782,62,0.225002346414838,0.146629434447809,0.159303912092831,0.210683229813665,-0.0229905621095056,-0.0222322453338797,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,34,0.242007830764854,0.204645811448268,0.162850644566875,0.214625850340136,-0.00895041010835763,-0.0111203899361137,0.898635479225791,56,0.22563182164231,0.186768177436537,0.161018575461287,0.171158036124314,-0.0102791689358128,-0.00962678912960771,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Asia and Pacific",NA,NA,NA,NA,NA,NA,NA,NA,141,0.207575111683144,0.196286260431161,0.163229851031269,0.224817290964727,0.013143242368412,-0.00114359884725107,1.0812634777314,266,0.217010473860569,0.14146358217,0.160551338400479,0.186991120588628,-0.00299544215099403,-0.000212127156351471,1,96,0.192188324382447,0.128378216871585,0.16151557406723,0.163882247966806,0.0408733120834185,0.0298001915040085,NA
